A	Coef.KO - WT	Coef.WT - KO	t.KO - WT	t.WT - KO	p.value.KO - WT	p.value.WT - KO	p.value.adj.KO - WT	p.value.adj.WT - KO	F	F.p.value
ANXA6	-2.5294468	0.52832083	-0.52832083	0.4456949	-0.4456949	0.6859717321	0.6859717321	0.93680617401	0.93680617401	0.1986439	0.6859717321
AP2B1	-1.0858172	-2.35893853	2.35893853	-2.0235706	2.0235706	0.1360307155	0.1360307155	0.77397218933	0.77397218933	4.0948381	0.1360307155
APMAP	-2.6552614	1.33333333	-1.33333333	1.1748672	-1.1748672	0.3246824361	0.3246824361	0.77397218933	0.77397218933	1.3803128	0.3246824361
ARF1	-2.0856193	2.4726175	-2.4726175	2.2700106	-2.2700106	0.1077737799	0.1077737799	0.77397218933	0.77397218933	5.152948	0.1077737799
ARG1	-0.9225832	-1.82573544	1.82573544	-1.9109671	1.9109671	0.151825102	0.151825102	0.77397218933	0.77397218933	3.6517953	0.151825102
ARHGDIA	2.211222	0.74806865	-0.74806865	1.994052	-1.994052	0.1399762309	0.1399762309	0.77397218933	0.77397218933	3.9762433	0.1399762309
ASNS	0.4519152	1.04442832	-1.04442832	1.2690331	-1.2690331	0.2938061133	0.2938061133	0.77397218933	0.77397218933	1.6104451	0.2938061133
ATP1A3	5.8736498	0.06521171	-0.06521171	0.1834665	-0.1834665	0.8661130481	0.8661130481	1	1	0.03366	0.8661130481
ATP1B1	2.6940477	-0.43178774	0.43178774	-1.0629944	1.0629944	0.3656461041	0.3656461041	0.77397218933	0.77397218933	1.129957	0.3656461041
ATP1B3	0.7528675	1.5591269	-1.5591269	0.9225623	-0.9225623	0.4241723124	0.4241723124	0.78083570948	0.78083570948	0.8511213	0.4241723124
ATP2A2	-0.3015107	1.50259821	-1.50259821	2.0290633	-2.0290633	0.1353111272	0.1353111272	0.77397218933	0.77397218933	4.1170977	0.1353111272
ATP5F1A	4.5897127	0.05844742	-0.05844742	0.1144993	-0.1144993	0.9160637974	0.9160637974	1	1	0.0131101	0.9160637974
ATP5F1B	5.0504019	0.05759267	-0.05759267	0.1686503	-0.1686503	0.8767843377	0.8767843377	1	1	0.0284429	0.8767843377
ATP5F1C	0.7074873	1.42464091	-1.42464091	1.8304637	-1.8304637	0.1644374136	0.1644374136	0.77397218933	0.77397218933	3.3505974	0.1644374136
ATP5F1D	-1.5078997	-1.75648689	1.75648689	-2.2763692	2.2763692	0.1071432969	0.1071432969	0.77397218933	0.77397218933	5.1818567	0.1071432969
ATP5PB	-0.0871505	2.8083198	-2.8083198	2.1560092	-2.1560092	0.1198730462	0.1198730462	0.77397218933	0.77397218933	4.6483757	0.1198730462
ATP5PD	-1.0485539	1.71479664	-1.71479664	1.4874913	-1.4874913	0.2334588276	0.2334588276	0.77397218933	0.77397218933	2.2126303	0.2334588276
ATP5PF	-1.0572985	0.64066583	-0.64066583	1.2577935	-1.2577935	0.2973269376	0.2973269376	0.77397218933	0.77397218933	1.5820445	0.2973269376
ATP5PO	0.6544914	-1.09436402	1.09436402	-0.5478735	0.5478735	0.6218509232	0.6218509232	0.89316891617	0.89316891617	0.3001654	0.6218509232
ATP6V1A	0.989947	-0.35312404	0.35312404	-0.3575891	0.3575891	0.7442911458	0.7442911458	0.9567499443	0.9567499443	0.12787	0.7442911458
ATP6V1B2	1.5297925	-0.46465756	0.46465756	-0.6008719	0.6008719	0.590224075	0.590224075	0.88788018176	0.88788018176	0.3610471	0.590224075
ATP6V1E1	-1.8214589	0.887655	-0.887655	1.7748354	-1.7748354	0.1738624017	0.1738624017	0.77397218933	0.77397218933	3.1500406	0.1738624017
ATP7A	-1.8695538	1.35679644	-1.35679644	1.396536	-1.396536	0.2567958858	0.2567958858	0.77397218933	0.77397218933	1.9503128	0.2567958858
AZGP1	-1.5543482	-0.70320816	0.70320816	-0.2774235	0.2774235	0.7994453992	0.7994453992	0.99797892651	0.99797892651	0.0769638	0.7994453992
BAG6	-2.3145291	0.95815637	-0.95815637	1.132519	-1.132519	0.3396234249	0.3396234249	0.77397218933	0.77397218933	1.2825993	0.3396234249
BASP1	0.5037552	-1.09610657	1.09610657	-2.8042458	2.8042458	0.0674822932	0.0674822932	0.77397218933	0.77397218933	7.8637943	0.0674822932
BAX	0.8405461	0.68601071	-0.68601071	0.5780243	-0.5780243	0.6037165648	0.6037165648	0.89226789927	0.89226789927	0.334112	0.6037165648
BCAP29	-1.4825658	-2.13077247	2.13077247	-2.6558349	2.6558349	0.0764730305	0.0764730305	0.77397218933	0.77397218933	7.0534589	0.0764730305
BCAP31	0.5740016	1.33887269	-1.33887269	1.9137226	-1.9137226	0.1514137517	0.1514137517	0.77397218933	0.77397218933	3.6623342	0.1514137517
BLVRA	-2.0856193	-0.35933417	0.35933417	-0.8228215	0.8228215	0.4708242348	0.4708242348	0.80745777863	0.80745777863	0.6770353	0.4708242348
BSG	3.8018897	0.5032218	-0.5032218	1.281378	-1.281378	0.2899889653	0.2899889653	0.77397218933	0.77397218933	1.6419295	0.2899889653
C1orf68	-0.5996394	-4.38793563	4.38793563	-5.0227028	5.0227028	0.0151405264	0.0151405264	0.77397218933	0.77397218933	25.2275433	0.0151405264
CACNA2D1	4.6867255	0.7171607	-0.7171607	1.5572809	-1.5572809	0.2171239139	0.2171239139	0.77397218933	0.77397218933	2.4251237	0.2171239139
CACNA2D2	4.6087594	0.19467609	-0.19467609	0.4169807	-0.4169807	0.7046893109	0.7046893109	0.9386891966	0.9386891966	0.1738729	0.7046893109
CACYBP	0.1233388	1.88533742	-1.88533742	1.5429323	-1.5429323	0.2203764794	0.2203764794	0.77397218933	0.77397218933	2.3806401	0.2203764794
CADM1	-0.720822	-0.69895385	0.69895385	-0.385839	0.385839	0.7253103067	0.7253103067	0.94984351607	0.94984351607	0.1488717	0.7253103067
CADM3	1.3395129	0.55237076	-0.55237076	1.0392987	-1.0392987	0.3749522161	0.3749522161	0.77397218933	0.77397218933	1.0801418	0.3749522161
CADM4	-1.266962	0.97630563	-0.97630563	1.0242152	-1.0242152	0.3809942958	0.3809942958	0.77397218933	0.77397218933	1.0490168	0.3809942958
CALD1	-1.8818873	0.04812997	-0.04812997	0.0233587	-0.0233587	0.9828286767	0.9828286767	1	1	0.0005456	0.9828286767
CALM2	0.9245688	2.15314387	-2.15314387	1.6459465	-1.6459465	0.1981731556	0.1981731556	0.77397218933	0.77397218933	2.70914	0.1981731556
CAND1	-3.0577677	0.52832083	-0.52832083	0.9801436	-0.9801436	0.3991833641	0.3991833641	0.77397218933	0.77397218933	0.9606815	0.3991833641
CAP1	2.9946528	-0.35613266	0.35613266	-0.8656683	0.8656683	0.4502544279	0.4502544279	0.79367720622	0.79367720622	0.7493816	0.4502544279
CAPN1	-1.8214589	1.94429667	-1.94429667	2.2480605	-2.2480605	0.1099848921	0.1099848921	0.77397218933	0.77397218933	5.0537759	0.1099848921
CAPRIN1	-2.4602739	0.66666667	-0.66666667	1.0533372	-1.0533372	0.3694115543	0.3694115543	0.77397218933	0.77397218933	1.1095193	0.3694115543
CAPZA1	1.7241134	0.33403115	-0.33403115	0.6587591	-0.6587591	0.5570239079	0.5570239079	0.86813475437	0.86813475437	0.4339635	0.5570239079
CAPZA2	-0.8906318	-0.0826425	0.0826425	-0.0419616	0.0419616	0.9691617017	0.9691617017	1	1	0.0017608	0.9691617017
CAPZB	2.2818918	0.67884196	-0.67884196	1.5241371	-1.5241371	0.2247188249	0.2247188249	0.77397218933	0.77397218933	2.322994	0.2247188249
CASP14	1.2724411	-1.03940397	1.03940397	-0.465932	0.465932	0.6729577893	0.6729577893	0.93384599783	0.93384599783	0.2170926	0.6729577893
CBX1	-1.5793736	-2.42846741	2.42846741	-1.7063951	1.7063951	0.1863203745	0.1863203745	0.77397218933	0.77397218933	2.9117841	0.1863203745
CBX3	1.7314756	-1.32894681	1.32894681	-2.6588362	2.6588362	0.0762769959	0.0762769959	0.77397218933	0.77397218933	7.0694097	0.0762769959
CBX5	-1.8936188	-0.02466686	0.02466686	-0.0120677	0.0120677	0.9911280466	0.9911280466	1	1	0.0001456	0.9911280466
CCAR2	-1.8782984	0.28266564	-0.28266564	0.2112265	-0.2112265	0.8462241289	0.8462241289	0.99797892651	0.99797892651	0.0446166	0.8462241289
CCT2	3.1737102	0.65104779	-0.65104779	1.5484064	-1.5484064	0.2191292822	0.2191292822	0.77397218933	0.77397218933	2.3975623	0.2191292822
CCT3	1.7584009	-0.43449701	0.43449701	-0.3612446	0.3612446	0.7418208806	0.7418208806	0.95619331401	0.95619331401	0.1304976	0.7418208806
CCT4	1.4697709	-0.47554583	0.47554583	-0.3925494	0.3925494	0.7208394585	0.7208394585	0.94878823878	0.94878823878	0.1540951	0.7208394585
CCT5	1.2134246	-0.27707734	0.27707734	-0.2033994	0.2033994	0.851817243	0.851817243	0.99797892651	0.99797892651	0.0413713	0.851817243
CCT6A	0.9496304	-0.52866768	0.52866768	-0.391232	0.391232	0.7217160141	0.7217160141	0.94878823878	0.94878823878	0.1530625	0.7217160141
CCT7	0.8192518	1.5381305	-1.5381305	2.0608849	-2.0608849	0.1312297114	0.1312297114	0.77397218933	0.77397218933	4.2472466	0.1312297114
CCT8	3.1687181	0.47826892	-0.47826892	0.731863	-0.731863	0.517158985	0.517158985	0.84340413913	0.84340413913	0.5356234	0.517158985
CD200	-1.6029253	0.60605389	-0.60605389	0.2460749	-0.2460749	0.8214746948	0.8214746948	0.99797892651	0.99797892651	0.0605529	0.8214746948
CD276	2.8908623	-0.05483135	0.05483135	-0.1611711	0.1611711	0.8821847539	0.8821847539	1	1	0.0259761	0.8821847539
CD59	1.6978181	-2.17573658	2.17573658	-1.1762923	1.1762923	0.3241912938	0.3241912938	0.77397218933	0.77397218933	1.3836635	0.3241912938
CD81	-1.7460402	0.01814926	-0.01814926	0.0091334	-0.0091334	0.993285174	0.993285174	1	1	8.34e-05	0.993285174
CDC37	-1.6177269	-1.29511914	1.29511914	-1.7467716	1.7467716	0.1788519264	0.1788519264	0.77397218933	0.77397218933	3.0512111	0.1788519264
CDC42	-2.6707797	1.30229687	-1.30229687	1.1725689	-1.1725689	0.3254760767	0.3254760767	0.77397218933	0.77397218933	1.3749178	0.3254760767
CDH2	-2.0362205	-0.35679644	0.35679644	-0.1927522	0.1927522	0.8594443892	0.8594443892	0.99797892651	0.99797892651	0.0371534	0.8594443892
CDK5	-0.8708994	1.53912799	-1.53912799	1.1919393	-1.1919393	0.3188480282	0.3188480282	0.77397218933	0.77397218933	1.4207194	0.3188480282
CEND1	0.7405652	-2.46108318	2.46108318	-3.0788712	3.0788712	0.0540624508	0.0540624508	0.77397218933	0.77397218933	9.4794481	0.0540624508
CEP170	-1.4189527	0.97399916	-0.97399916	0.4502299	-0.4502299	0.6830423926	0.6830423926	0.93680617401	0.93680617401	0.202707	0.6830423926
CFL1	4.0679186	0.2974217	-0.2974217	0.894413	-0.894413	0.4369023678	0.4369023678	0.79174069086	0.79174069086	0.7999746	0.4369023678
CHCHD5	-3.3219281	0	0	0	0	1	1	1	1	0	1
CIRBP	-1.1757141	-4.29242804	4.29242804	-6.8225884	6.8225884	0.006407027	0.006407027	0.41802128181	0.41802128181	46.5477131	0.006407027
CKAP5	-1.8578223	-1.05664167	1.05664167	-1.1475449	1.1475449	0.3342448057	0.3342448057	0.77397218933	0.77397218933	1.3168593	0.3342448057
CKB	-1.7837916	-1.52832083	1.52832083	-1.1864529	1.1864529	0.3207113453	0.3207113453	0.77397218933	0.77397218933	1.4076704	0.3207113453
CLMP	-0.4795788	-0.08982022	0.08982022	-0.0913263	0.0913263	0.9329806137	0.9329806137	1	1	0.0083405	0.9329806137
CLPTM1	-2.2399526	-0.0506677	0.0506677	-0.0324196	0.0324196	0.9761705432	0.9761705432	1	1	0.001051	0.9761705432
CLTA	-1.9923814	0.12085669	-0.12085669	0.0633758	-0.0633758	0.9534473704	0.9534473704	1	1	0.0040165	0.9534473704
CLTC	5.0265807	-0.25584457	0.25584457	-0.6410438	0.6410438	0.567032627	0.567032627	0.87563887968	0.87563887968	0.4109372	0.567032627
CNBP	-2.2652864	-2.11328333	2.11328333	-2.2950898	2.2950898	0.1053127735	0.1053127735	0.77397218933	0.77397218933	5.2674373	0.1053127735
CNN3	1.8794957	-0.00803189	0.00803189	-0.0231663	0.0231663	0.9829700646	0.9829700646	1	1	0.0005367	0.9829700646
CNNM2	-3.3219281	0	0	0	0	1	1	1	1	0	1
CNP	-2.3003809	-0.17152439	0.17152439	-0.4863884	0.4863884	0.6599569189	0.6599569189	0.92499985828	0.92499985828	0.2365736	0.6599569189
CNTFR	2.5286702	0.5265868	-0.5265868	1.2376365	-1.2376365	0.3037509658	0.3037509658	0.77397218933	0.77397218933	1.531744	0.3037509658
CNTN1	1.9087056	-1.45896524	1.45896524	-1.6127	1.6127	0.205053277	0.205053277	0.77397218933	0.77397218933	2.6008012	0.205053277
COPA	-1.4091371	1.61096334	-1.61096334	1.587798	-1.587798	0.2103819782	0.2103819782	0.77397218933	0.77397218933	2.5211024	0.2103819782
COPG2	-2.7936073	0	0	0	0	1	1	1	1	0	1
CORO1A	-0.081305	-0.62482304	0.62482304	-1.4419023	1.4419023	0.2448546289	0.2448546289	0.77397218933	0.77397218933	2.0790823	0.2448546289
CORO1C	-1.728221	2.13077247	-2.13077247	1.3646083	-1.3646083	0.2655742916	0.2655742916	0.77397218933	0.77397218933	1.8621558	0.2655742916
CPNE1	-0.3148281	1.86165417	-1.86165417	2.282788	-2.282788	0.1065113591	0.1065113591	0.77397218933	0.77397218933	5.2111211	0.1065113591
CPNE3	0.1218407	3.7539111	-3.7539111	3.146669	-3.146669	0.051278817	0.051278817	0.77397218933	0.77397218933	9.9015256	0.051278817
CPOX	-2.2170353	2.20978554	-2.20978554	1.757456	-1.757456	0.1769332342	0.1769332342	0.77397218933	0.77397218933	3.0886516	0.1769332342
CPT1A	-1.8214589	1.94429667	-1.94429667	1.8314282	-1.8314282	0.1642792716	0.1642792716	0.77397218933	0.77397218933	3.3541294	0.1642792716
CRABP2	2.611112	0.64583581	-0.64583581	1.3054095	-1.3054095	0.2827059216	0.2827059216	0.77397218933	0.77397218933	1.7040939	0.2827059216
CRMP1	3.8190303	-0.21579446	0.21579446	-0.3635751	0.3635751	0.7402481146	0.7402481146	0.95619331401	0.95619331401	0.1321869	0.7402481146
CS	-1.4387268	-0.31978601	0.31978601	-0.8656118	0.8656118	0.4502810511	0.4502810511	0.79367720622	0.79367720622	0.7492837	0.4502810511
CSN1S1_COW	-0.5152752	0.8135242	-0.8135242	0.9889986	-0.9889986	0.395464222	0.395464222	0.77397218933	0.77397218933	0.9781182	0.395464222
CSN3_COW	-2.5385215	1.56681324	-1.56681324	1.1882751	-1.1882751	0.3200912677	0.3200912677	0.77397218933	0.77397218933	1.4119976	0.3200912677
CSTF2	-1.9387268	-1.21845061	1.21845061	-1.6214077	1.6214077	0.2032257153	0.2032257153	0.77397218933	0.77397218933	2.6289629	0.2032257153
CTNNA1	0.7460682	0.77215272	-0.77215272	0.7224067	-0.7224067	0.5221844777	0.5221844777	0.84567230964	0.84567230964	0.5218714	0.5221844777
CTNNB1	2.1010339	-1.08395451	1.08395451	-1.038248	1.038248	0.375370113	0.375370113	0.77397218933	0.77397218933	1.0779589	0.375370113
CTNND1	1.0383795	-2.14552355	2.14552355	-1.4483758	1.4483758	0.2432002283	0.2432002283	0.77397218933	0.77397218933	2.0977923	0.2432002283
CTSD	1.5828828	-0.63914042	0.63914042	-0.7654491	0.7654491	0.499626896	0.499626896	0.83630593138	0.83630593138	0.5859124	0.499626896
CTTN	-2.3861431	-1.87156995	1.87156995	-2.2570589	2.2570589	0.1090718893	0.1090718893	0.77397218933	0.77397218933	5.0943151	0.1090718893
CXADR	3.0743719	-0.08431973	0.08431973	-0.1361011	0.1361011	0.9003473096	0.9003473096	1	1	0.0185235	0.9003473096
CYB5B	1.0284872	0.60269391	-0.60269391	1.3621844	-1.3621844	0.266253691	0.266253691	0.77397218933	0.77397218933	1.8555464	0.266253691
CYP26B1	-0.680654	1.29769493	-1.29769493	0.8481755	-0.8481755	0.4585555746	0.4585555746	0.80218494002	0.80218494002	0.7194016	0.4585555746
DAD1	-1.3022127	-0.90580427	0.90580427	-0.6260838	0.6260838	0.5755891809	0.5755891809	0.8772079657	0.8772079657	0.391981	0.5755891809
DARS1	-1.4189527	-0.0826425	0.0826425	-0.1012192	0.1012192	0.9257520119	0.9257520119	1	1	0.0102453	0.9257520119
DBH	4.3988917	0.62596531	-0.62596531	1.6863528	-1.6863528	0.1901589761	0.1901589761	0.77397218933	0.77397218933	2.8437857	0.1901589761
DBN1	-1.2528139	-1.00460193	1.00460193	-0.4086653	0.4086653	0.7101634179	0.7101634179	0.9423841553	0.9423841553	0.1670073	0.7101634179
DBNL	-1.2936073	-4.05664167	4.05664167	-10.1171029	10.1171029	0.0020420476	0.0020420476	0.33568195051	0.33568195051	102.3557706	0.0020420476
DCHS1	1.7025019	-0.74800353	0.74800353	-1.8268106	1.8268106	0.1650379606	0.1650379606	0.77397218933	0.77397218933	3.337237	0.1650379606
DCX	-1.4881256	1.27763	-1.27763	1.0156949	-1.0156949	0.3844483382	0.3844483382	0.77397218933	0.77397218933	1.0316362	0.3844483382
DDB1	-1.3337184	-3.97641947	3.97641947	-2.302001	2.302001	0.1046465634	0.1046465634	0.77397218933	0.77397218933	5.2992085	0.1046465634
DDOST	-1.751584	0.60245164	-0.60245164	0.32963	-0.32963	0.7633195082	0.7633195082	0.97403476548	0.97403476548	0.108656	0.7633195082
DDX1	-3.0577677	0.52832083	-0.52832083	0.9801436	-0.9801436	0.3991833641	0.3991833641	0.77397218933	0.77397218933	0.9606815	0.3991833641
DDX17	-1.0024593	-1.80698582	1.80698582	-1.2671795	1.2671795	0.2943837576	0.2943837576	0.77397218933	0.77397218933	1.605744	0.2943837576
DDX21	-2.6873689	1.26911831	-1.26911831	1.1699398	-1.1699398	0.3263863658	0.3263863658	0.77397218933	0.77397218933	1.368759	0.3263863658
DDX39B	-0.6596527	-0.90497976	0.90497976	-0.5634785	0.5634785	0.6124188953	0.6124188953	0.89316891617	0.89316891617	0.317508	0.6124188953
DDX3X	1.6902218	-0.29420579	0.29420579	-0.2951668	0.2951668	0.7870849847	0.7870849847	0.99167025148	0.99167025148	0.0871234	0.7870849847
DDX5	1.6007575	-1.87566461	1.87566461	-3.3155625	3.3155625	0.0450914293	0.0450914293	0.77397218933	0.77397218933	10.9929549	0.0450914293
DEFA1B	-1.4972002	-0.1508374	0.1508374	-0.4355697	0.4355697	0.6925386616	0.6925386616	0.93680617401	0.93680617401	0.1897209	0.6925386616
DHX9	-1.6862979	-2.21461873	2.21461873	-0.8849772	0.8849772	0.4412458924	0.4412458924	0.79174069086	0.79174069086	0.7831847	0.4412458924
DIAPH1	-1.3084585	4.02693918	-4.02693918	10.8684332	-10.8684332	0.0016541297	0.0016541297	0.33568195051	0.33568195051	118.1228395	0.0016541297
DLST	-1.3681268	-0.77397603	0.77397603	-0.3329144	0.3329144	0.7610722255	0.7610722255	0.97294581213	0.97294581213	0.110832	0.7610722255
DNAJA1	-1.9885948	0	0	0	0	1	1	1	1	0	1
DPM3	-1.5485539	-3.54674831	3.54674831	-2.3917901	2.3917901	0.0964387582	0.0964387582	0.77397218933	0.77397218933	5.7206597	0.0964387582
DPP6	-2.7936073	-1.05664167	1.05664167	-1.9602873	1.9602873	0.1446557199	0.1446557199	0.77397218933	0.77397218933	3.8427262	0.1446557199
DPY30	-1.7732078	0.26548887	-0.26548887	0.1198693	-0.1198693	0.912151659	0.912151659	1	1	0.0143686	0.912151659
DPYSL2	4.7669755	-0.13573807	0.13573807	-0.3267501	0.3267501	0.7652926926	0.7652926926	0.97477061937	0.97477061937	0.1067656	0.7652926926
DPYSL3	3.2915298	-0.13521814	0.13521814	-0.1914976	0.1914976	0.8603444915	0.8603444915	0.99797892651	0.99797892651	0.0366713	0.8603444915
DPYSL4	-2.7936073	1.05664167	-1.05664167	1.1475449	-1.1475449	0.3342448057	0.3342448057	0.77397218933	0.77397218933	1.3168593	0.3342448057
DPYSL5	-0.0238477	-2.75956919	2.75956919	-1.4412167	1.4412167	0.2450305565	0.2450305565	0.77397218933	0.77397218933	2.0771057	0.2450305565
DSG1	3.3849505	-0.95207261	0.95207261	-1.0064023	1.0064023	0.388249429	0.388249429	0.77397218933	0.77397218933	1.0128456	0.388249429
DSTN	-1.1579771	1.93792706	-1.93792706	1.5890709	-1.5890709	0.2101058681	0.2101058681	0.77397218933	0.77397218933	2.5251463	0.2101058681
DUT	-1.1647507	2.76640267	-2.76640267	7.2663822	-7.2663822	0.0053479318	0.0053479318	0.41476182077	0.41476182077	52.8003096	0.0053479318
DYNC1H1	-0.8062622	1.12601107	-1.12601107	0.3820715	-0.3820715	0.7278268803	0.7278268803	0.95135423676	0.95135423676	0.1459786	0.7278268803
DYNC1I2	-3.0577677	-0.52832083	0.52832083	-0.9801436	0.9801436	0.3991833641	0.3991833641	0.77397218933	0.77397218933	0.9606815	0.3991833641
DYNLL1	1.4855889	-0.81750407	0.81750407	-1.7145806	1.7145806	0.1847780243	0.1847780243	0.77397218933	0.77397218933	2.9397865	0.1847780243
DYNLRB1	-1.5587088	0.13479675	-0.13479675	0.0606393	-0.0606393	0.9554540818	0.9554540818	1	1	0.0036771	0.9554540818
DYNLT1	-2.5786895	-1.48647721	1.48647721	-1.18432	1.18432	0.3214387061	0.3214387061	0.77397218933	0.77397218933	1.4026138	0.3214387061
ECH1	-0.6696435	2.4726175	-2.4726175	1.6661442	-1.6661442	0.1941204319	0.1941204319	0.77397218933	0.77397218933	2.7760364	0.1941204319
ECHS1	-1.5169743	1.73833763	-1.73833763	0.9101107	-0.9101107	0.4297613884	0.4297613884	0.78733188738	0.78733188738	0.8283015	0.4297613884
ECI1	-3.0577677	0.52832083	-0.52832083	0.9801436	-0.9801436	0.3991833641	0.3991833641	0.77397218933	0.77397218933	0.9606815	0.3991833641
EEF1A1	4.2595178	0.00859078	-0.00859078	0.0225935	-0.0225935	0.9833910474	0.9833910474	1	1	0.0005105	0.9833910474
EEF1B2	-1.7973939	-0.93578497	0.93578497	-0.5479294	0.5479294	0.621816963	0.621816963	0.89316891617	0.89316891617	0.3002266	0.621816963
EEF1G	0.7450973	0.85381553	-0.85381553	0.4257588	-0.4257588	0.6989363959	0.6989363959	0.9386891966	0.9386891966	0.1812706	0.6989363959
EEF2	3.6442052	0.1521183	-0.1521183	0.4531195	-0.4531195	0.6811797896	0.6811797896	0.93680617401	0.93680617401	0.2053173	0.6811797896
EFNB2	-1.5615544	-3.52074747	3.52074747	-9.8407181	9.8407181	0.0022149621	0.0022149621	0.33568195051	0.33568195051	96.8397329	0.0022149621
