Features	KO.1	KO.2	KO.3	WT.1	WT.2	WT.3
CTNND1	1.8	0	4.8	6.3	4.1	2.9
CTSD	5.1	3.7	0.6	2.1	12.4	1.8
CTTN	0	0	0	0.6	0	0.6
CXADR	7.6	7.8	8.9	13.5	12.2	3.8
CYB5B	3.7	2.1	1.8	2	2.3	0.8
CYP26B1	0.2	2.5	1.1	0.8	0	0.6
DAD1	0	2.5	0	0	0.8	1.8
DARS1	0	1.5	0.2	0.2	1.8	0
DBH	25.2	33.3	21.2	21.7	20.7	10.7
DBN1	0	2.5	0	0.4	0	4.1
DBNL	0	0	0	1.5	2.3	1.1
DCHS1	4.3	2.3	1.4	5.1	3.8	3.6
DCX	0.8	1.8	0	1.1	0	0
DDB1	0	0	0	0	2.9	12.9
DDOST	0	0.6	0.6	1.3	0	0
DDX1	0	0.2	0	0	0	0
DDX17	0	1.8	0	0	2.1	3.6
DDX21	0	1.3	0	0	0	0
DDX39B	0.2	3.2	0	0	2.4	2.5
DDX3X	0.8	4.9	5.4	4.5	1.5	6.1
DDX5	0.8	0.8	4.8	4.5	5.1	8.1
DEFA1B	0	3.7	0	0	5.1	0
DHX9	0	0.2	0	0	0	29.9
DIAPH1	1.8	1.8	1.1	0	0	0
DLST	0	0	2.5	0.4	2.5	0
DNAJA1	0	1.5	0	1.5	0	0
DPM3	0	0	0	0	3.7	4.1
DPP6	0	0	0	0.2	0.2	0
DPY30	0	3.2	0	0	0	1.8
DPYSL2	27.8	20.1	31	34.8	29.9	22.1
DPYSL3	8.6	7.4	12.4	12.5	17.4	4.8
DPYSL4	0	0	0.8	0	0	0
DPYSL5	0	0	5.3	4.2	2.5	1.4
DSG1	15.3	13	2	6.8	37.9	11.6
DSTN	2.4	2.6	0	1.1	0	0
DUT	4.4	0.4	0.6	0.4	0	0
DYNC1H1	0	0.8	6.6	5.7	0	0
DYNC1I2	0	0	0	0	0.2	0
DYNLL1	1.8	1.8	2.5	1.8	5.1	5.1
DYNLRB1	0.2	1.4	0	0	0	3.3
DYNLT1	0	0	0	0	2.1	0
ECH1	1.8	0.8	1.8	0	1.8	0
ECHS1	0.9	2.5	0	0	0	0.6
ECI1	0.2	0	0	0	0	0
EEF1A1	23.9	10.8	27	27.8	12.9	19.1
EEF1B2	0	0.8	0	0.6	0	0.8
EEF1G	2.1	0.9	5.1	5.6	3.3	0
EEF2	15	11.3	13.2	12.2	11.8	11.3
EFNB2	0	0	0	1.1	1.3	0.8
EIF3A	0	2	0	0	0	0.8
EIF4A1	0	4.5	0.6	2.5	0.8	0
EIF4A3	0	0	0	0	2.5	0
EIF4B	0	2.5	0	0.9	0.6	0
EIF5A	0.4	0	0.8	0	0	0.8
ELAVL1	0	0	0	0	0.2	3.7
ELAVL4	0.6	1.8	0	0	0	0
ELMOD2	2.9	0	1.8	0	0	0
EMD	0	0.4	0	0	2.1	0
ENAH	0.2	0.8	2.1	0.6	0	0
ENO1	14.2	17.4	8.1	12.4	13.2	15.6
EPDR1	0	0	0	0	0.6	0
EPHB2	14.4	0	11.1	21	11.1	10.5
EPRS1	1.8	0	8.7	4.8	2.5	1.8
ERH	2	0	2.4	0.8	0.2	8
ERO1A	0	1.4	0	0	1.8	0
ERP29	4	0.8	2.1	3.2	5.2	0
ERP44	1.5	0	2.5	0.6	5.3	3.3
ESYT1	5.7	0	8	3.8	3.2	1.8
EZR	0	0	2.5	1.8	0	2.5
FABP5	1.8	4.8	0	1.8	8.9	3.7
FAM234A	5.6	6.1	0.9	8	5.6	4.1
FASN	17.8	17.8	28.4	22.6	0	21.7
FBL	0	0.4	0	0	1.9	0
FDFT1	2.2	0	0	0	0.4	0.2
FKBP4	4.1	2.1	1.5	8.1	5.5	1.8
FLG	2.4	0	0.8	0	6.1	0
FLNB	9.7	8.9	13.5	14.2	3.6	6.1
FLOT1	1.5	0	0.8	1.1	0	0
FLOT2	1.1	0	2	0	0	0
FLVCR1	0.6	2.1	0	1.1	0.2	0
FSCN1	6.8	4.8	4.3	10.5	11.3	0
FTH1	0	0	0.8	0	0.8	1.8
FUBP1	0	0.8	0	0	0	2.5
FUBP3	0	0.8	0	0	0.2	0
FUS	0	0.4	0	0	0	8.6
FXR1	0	1.8	0	0.8	0	0
G3BP2	0	0	0	0	0.2	0
GANAB	0	0	0	0	0.2	0
GAP43	10.8	21.2	5.2	11.8	12.5	14.2
GAPDH	37.9	28.4	37.9	41.4	31	37.9
GARS1	0	0.4	2.9	2.4	0	0.6
GART	0	0	0	0.8	2.5	0
GDAP1	0.4	1.8	0	0.4	0.8	0
GDI2	3.5	1.8	0	2	0	1.3
GET3	0	0	0.4	0	0	0
GFRA2	0	2.9	0	0	0	0
GGCT	0	4.1	0	0.8	5.4	0
GLUD1	0.8	1.5	0.8	0	0	0
GNA13	11	4.8	6	6	9.9	4.1
GNAI3	7.8	10.5	4.1	3.8	1.5	6.3
GNB1	8.9	11.1	11	16.2	11	7.8
GNG2	0.6	4.1	0	0.2	0	1.5
GOT2	0	0	0	0.8	2.5	0
GPC2	3.2	0.8	0	1.8	2.5	2.1
GPC6	0.2	0	1.8	0	0	0.4
GPRIN1	0.8	3.8	4.1	4.1	0.2	3.2
GPX1	0.8	1.5	0	0.8	0	4.5
GRPEL1	1.8	1.4	1.1	2	4	0
GSPT1	0	0	0	0.4	0.4	0.8
GSTM3	0	0	0	0	1.4	0.9
GSTO1	1.8	4.2	0.8	0	4	1.1
GSTP1	1.8	8	2.5	0	5.1	0.6
GTF2I	0	0	0	0	0	0
H1-2	0.2	0	0	0	2.5	0.6
H1-5	0	0	0	0	0	0
H2AC13	3.3	5.1	4	2.2	0	4.1
H2BC14	2.5	3.3	0	0	0.8	0
H3C15	0	0	1.8	0	0	0
H4C15	8	8.1	6.1	2.5	14.2	7.8
HADHA	11.5	5.1	21	7.8	11.6	9.8
HADHB	1.1	1.7	2.3	0.4	0	3.2
HBB	0	2.3	0	0	6.1	0
HDAC2	0.2	2.1	0	0	0	0
HDGF	0	0	0	0	0	0.4
HLA-A	0.8	0	0	0	0	0.8
HMGB1	6.3	9.4	7.4	7.6	4.1	2
HMGCS1	0.2	0	0	0.8	2.5	0
HNRNPA0	0	2.1	0	0	0	5.1
HNRNPA1	1.8	0	3.8	2	0	40
HNRNPA2B1	0	0.8	4.3	2.5	0	34.8
HNRNPA3	0	3.2	0.4	0	0.8	28.4
HNRNPAB	0	3.2	0	0.9	0	12.7
HNRNPC	1.5	0	6.1	0.8	0	26.1
HNRNPD	0	0	0.8	0.8	0.8	14.4
HNRNPDL	0	0	0	0	0	11.8
HNRNPF	0	5.4	0	0.8	0	6.8
HNRNPH1	4.8	9.8	6.3	6.1	6.1	17.8
HNRNPH3	0	2.1	0	0.2	0	7.5
HNRNPK	8.5	11.8	12.5	10.8	6.8	27.8
HNRNPL	0	0.8	0	0	0	17.4
HNRNPM	0	0.9	0	1.3	0	9.8
HNRNPR	0	0.8	2.4	1.1	1.8	13
HNRNPU	4.3	5.4	13	3.8	0.4	27
HNRNPUL2	0	0.8	0	0	0	0.8
HPCAL1	0.8	3.5	0	2	0	1.1
HPCAL4	0.9	0	0	0	0	0
HPRT1	6.1	5.1	2.2	4.8	5.1	2.3
HSD17B10	13.2	17.4	16.2	8.9	13.5	15.3
HSD17B12	0.2	0.8	2.1	0	0	0.4
HSD17B4	2	0	0	2.5	1.3	0
HSP90AB1	10.7	8.9	10.1	11	6.3	9.2
HSPA1A	16.6	27	19.6	20.1	17.4	16.6
HSPA5	40	64.6	43.9	43.9	48.1	51.8
HSPA8	64.6	74.7	55.1	60.3	74.7	64.6
HSPA9	16.9	40	21.7	18.6	32	25.2
HSPB1	1.1	6.1	3.2	0	3.7	2.6
HSPBP1	0	0	0	1.7	0	0
HSPD1	39.4	37.9	48.1	29.9	40	31
HSPE1	4.2	3.6	3.7	0	7.8	6
HSPH1	12.5	12.9	13.3	17.8	8.9	15
HUWE1	0	0.6	0.8	0	0	0.4
HYOU1	8.9	18.6	1.1	9.4	5.1	6.3
IARS1	0	0.9	2.5	0.8	0	0.4
IDH2	4.8	6.9	11.6	5.5	0	1.8
IGLON5	1.1	0	0	1.8	2.2	1.5
ILF2	0.2	1.3	1.8	0	0.9	5.5
ILF3	0.4	0.8	0	0	0	24.4
IMPDH2	1.3	2	1.8	1.8	0	0
INA	2.5	0	0.6	6.1	7.1	4.9
IPO5	18.2	15.6	14.7	15.3	18.2	16.9
IPO7	0	0	0	0.4	0	0.8
IPO9	0	0	0	0	1.4	0
ISOC1	5.2	0	1.4	2.5	6.6	2
ISYNA1	0	4.2	0.4	0	0	0.9
ITGA1	41.4	27.8	29.9	28.4	26.1	9.1
ITGA2	11.6	20.7	6.8	5.9	0.8	0
ITGAV	19.1	15	10.5	14.4	0	0
ITGB1	48.1	46.6	39.4	40	27	21.2
ITGB5	3.8	3.9	0	0.8	0	0.9
JPT1	0	6	0	0	0	0
JPT2	0	0	0.8	1.8	0.8	0
K2M2_SHEEP	0	0.9	0	0	4.8	0
KARS1	0	0	0.6	0	0	0
KCTD12	0	1.8	0	0	0	0
KHDRBS1	0	0	0	0	0	5.8
KHSRP	0	0	2.5	0.2	1.8	8.1
KIF21A	0	0	0	0.6	0	0
KIF5C	2.5	2.2	5.1	6.8	4.8	0
KLC1	0	0	0	1.3	0.2	0
KPNA2	0	0	1.4	0	0	0.9
KPNB1	36.8	35.5	32	32	36.8	55.1
KRT77	17.4	18.2	0	0.2	46.6	18.6
KTN1	0	0	0	1.8	0	0
L1CAM	13.8	11.6	9.1	18.2	10.5	7.4
LAMC1	0	1.7	0	0	0	0
LAMP1	0	0	0	0	5.1	0
LAMTOR1	0	0.2	0	0	0	0.8
LCE1C	1.8	1.7	2.3	1.8	0.9	1.1
LDAH	3.7	2.5	0	0	0	0
LDHB	22.1	21.7	11.5	23.5	22.6	13.8
LETM1	0	0	3.2	0	0	0
LGALS1	10.6	15.3	10.6	9.9	12.7	9.4
LGALS7B	0	0.4	0	0	4.8	0
LMAN2	0	0	0	0	0	0
LMNB1	0	1.8	0	0	0	0.8
LOR	0.2	0	0	0	4.5	0
LRP1	0	0	0	0.2	0	0
LRPPRC	1.4	3.5	2.9	0.8	0.2	0
LRRC4B	0.8	0	0	0	1.8	0
LRRC59	1.4	0	5.5	2.6	0	0
LSAMP	13.3	21	6.1	16.9	9.2	5.7
LSS	4.2	1.1	6.3	3.7	4.9	1.4
LUC7L2	0.4	1.5	0.8	0	1.8	0.8
LYZ	0.8	0	0	0.9	0	0.8
M6PR	0.2	5.8	0	0	1.8	0
MAOA	0	0.8	0	0	1.5	0
MAP1B	1.8	0	6.4	5.1	8.5	3.3
MAP4K4	0	1.9	0	0	2.1	1.4
MARCKS	8.9	13.5	6.8	6.9	10.7	11
MARCKSL1	2.6	6.3	2	4.1	8.1	4.8
MARS1	0	2	0	1.5	0	0
MAT2A	3.8	3.7	1.8	1.8	6.1	6.9
MAT2B	2.5	1.8	0.4	0.8	5.9	0
MATR3	0	0	0	0	0	16.2
MCAM	2.4	0	0	4.1	0	0
MCCC2	0	0	0	0	0	0.4
MDH1	4.1	2.4	0.2	3.9	0	0.8
MDH2	5.1	7.3	4.5	2.1	0.4	6.8
MGRN1	0	0	0	1.4	0	0
MIF	3.7	5.5	2.1	3.7	4.1	3.2
MMAB	0.8	2	0	0	2.1	0.4
MPDU1	0	0	0.8	0	1.1	0
MPZL1	6.3	0.8	2.3	7.3	7.8	0
MRC2	2.3	5.1	0.9	0.8	0	0
MTPN	4.8	5.1	2	0.8	2.4	0
MYEF2	0	0	0	0	0	0
MYH9	43.9	31	51.8	48.1	34.8	46.6
MYL12B	1.7	2.9	0.4	0	2.3	0.2
MYL6	4.1	0	3.8	2.1	1.5	7.3
MYO1B	0	0	0.9	1.5	0	0.8
NACA	0	1.4	0	0.4	0	2
NACAD	0	1.1	0	0	0	2.1
NCAM1	7.3	9.8	7.8	2.3	7.6	6.1
NCAM2	24.4	25.2	16.6	26.1	19.6	8.2
NCL	2	6.8	0	5.1	0	9.3
NCSTN	9.1	10.7	4.1	7.3	7.3	5.1
NECTIN1	1.8	0	1.8	1.5	0	0
NECTIN2	1.8	0.2	0.8	5.1	4.8	0
NEFL	0	0	0	0	2	0
NEFM	0	2.5	0	4	8	1.7
NFASC	1.1	0	2.5	2.4	0.8	0
NIPSNAP1	0	2	0.2	0	0	0.8
NLGN2	0.8	0.2	0.2	0	0.2	0
NME1-NME2	19.6	26.1	15.3	9.3	24.4	17.4
NONO	0	2.5	0	0	0	10.1
NOP56	0	2.5	0	0	0.2	0
NOTCH2	0.6	0.2	0	0	0	0
NPEPPS	5.1	9.7	4.1	6.8	9.7	2.5
NPM1	1.8	7.1	4.8	2.9	3.6	5.6
NPTN	2.9	5.5	1.5	3.3	6.1	1.8
NRCAM	21.2	13.8	20.1	17.4	4.8	13.2
NTRK2	2.5	0	0	1.7	0	0.8
NUCB1	0	0	0	0	0	0
NUDC	2.5	0	5.1	4.3	7.5	0
NUP43	0	0	0	0	1.8	0.2
NUP50	0	1.8	1.8	0	1.4	1.4
NUP54	0	1.5	0	0	1.5	0
OLA1	0	0	0.8	0	2.6	0
OPA1	0.8	0	0	0	1.1	0.4
OSBPL8	2.5	0	0.8	1.8	0	0
P4HB	2.1	2.6	2	1.8	0	1.4
PA2G4	0	0.4	0	0	0	0
PABPC1	2.1	0	6.3	2.3	2.1	3.8
PAFAH1B2	0	0	0	0	0	0
PAICS	5.1	1.8	6.1	4.9	8.1	3.8
PARK7	2.5	7.6	1.8	0	0	0
PCBP1	3.9	6.6	3.3	4.3	8.6	6.5
PCBP2	0	6	2.5	4.8	0	5.1
PCMT1	6.5	8.1	2.1	4.1	3.9	5.3
PDCD6	0	0	0.4	0	2.5	1.5
PDCD6IP	3.3	0.4	1.8	1.8	0	0
PDIA3	23.5	16.2	27.8	16.6	23.5	11.5
PDIA6	3.2	1.8	4.8	2.5	0.8	2.5
PEBP1	4.1	2.4	0	0	0	0
PFAS	6	6.1	4.2	6.6	7.3	6.3
PFDN2	1.8	4.1	0.6	0	0.2	0
PFKM	0.9	0	2	0.4	0	0.2
PFKP	0	0	0.8	1.8	0	0
PFN1	15.1	15.9	12.7	10.3	15	13.3
PFN2	5.9	5.6	5.2	4.1	4.9	3.7
PGAM1	6.1	6.8	4.1	5.2	5.5	6.1
PGD	0	0	0	0	0.8	3.5
PGK1	9.9	8.6	8	10.1	2.9	10.8
PGLS	0	0	0.8	0	2.1	1.1
PGRMC1	0	0.8	0	0	0.8	0
PGRMC2	0.2	0	0	0	5.2	1.5
PHB	6.1	0.8	6.9	6.1	0	5.1
PHB2	2.3	0.8	5.2	7.4	0	1.8
PHGDH	12.2	11.5	18.2	13.2	10.3	12.2
PIN1	4.1	0	1.1	0	0	0
PIP	1.8	7.3	1.8	3.2	7.8	4
PKM	22.6	10.3	22.6	19.6	9.1	18.2
PLD3	2.2	0.6	0	0.8	0	2
PLXNA2	5.2	0	5.5	7	0	0
PLXNB2	5.3	0	2.9	5.5	2.5	1.8
PMPCA	0	0	0	0	1.8	0
PMPCB	3.3	0	4.9	1.1	4.1	4.2
PPAT	0.4	2	0	0.8	1.1	1.7
PPIA	15.9	16.9	17.4	17.4	19.1	21
PPIB	3.8	6.8	8.2	2.5	5.1	5.2
PPM1A	0	0	0	0.8	2.9	0.4
PPM1G	0	0.8	0	0	0	0.8
PPME1	2.3	2.5	0	1.5	3.3	0
PPP1CA	0	0.9	0.4	0	0	1.8
PPP2CB	0	0	0	0	0.8	1.5
PPP2R1A	12.7	4.8	7.2	6.1	6.8	9.9
PPP2R2A	0	0	0	0	1.8	0.2
PRAF2	0	0	1.8	0	0	0
PRDX1	21	22.6	25.2	24.4	28.4	19.6
PRDX2	20.7	12.2	18.6	14.7	17.8	22.6
PRDX3	6.3	8.1	7.3	3.3	6.1	7
PRDX4	13.5	14.7	14.2	11.3	21.7	8.1
PRDX5	1.1	4.1	2.1	0	7	2.1
PRDX6	7.8	4.1	4.1	2	0.8	3.7
PRKACA	1.1	0	0	0	0	0
PRKCA	2.5	3.1	4.8	4.1	10.1	2.9
PRKDC	0	0	3.5	0	0	0.8
PRXL2A	2.3	0.8	3.2	0	0.8	0.2
PSMA7	0.8	1.1	1.3	0	2.1	0.4
PSMB5	0.6	1.3	0	0	1.1	0
PSMB6	0	0	1.5	1.4	0	2.1
PSMC1	0.4	0.8	0.4	0	0	0
PSMC3	0.4	3.3	3.3	0	0	2
PSMC5	0	0.6	0	0.6	2.5	0
PSMC6	0.2	0	0.8	0	0	0
PSMD1	0.6	0.8	0	0.8	0	0
PSMD11	0	0.8	0.4	0	0	0.8
PSMD2	2	0	0	0	0	0
PSMD6	0	1.4	0.2	0.2	0	0
PSMD7	0	1.8	0	0.4	0	0
PSME1	2.9	2.5	3.3	2.5	2.4	5.1
PTBP1	0	0	0	0	0	1.3
PTGFRN	7.1	7.4	0.2	6.8	0	2.4
PTK7	4.8	4.1	2.5	6.1	0	1.8
PUF60	0	0.9	0	0	2.5	0
PVR	6.8	9.9	0.9	5.2	8.7	2.1
PYCR1	0.2	0	1.3	0.2	0	0
RAB14	4.8	6.1	5.9	3.3	3.7	5.4
RAB27B	0	1.4	0	0.2	0	0
RAB2B	4.8	0	2.9	0	4.3	0.2
RAB5C	2.1	7	6.5	2.3	9.4	6.6
RAB7A	1.4	4.8	1.5	1.8	3.6	2.9
RAC1	0.8	0	1.1	1.4	0	0
RACK1	1.8	0	2.5	3.7	1.8	0
RALY	0.2	2.9	0	0	0	0
RAN	0	2.3	0	1.8	0.2	0.6
RANBP1	0	0.2	0	0	0	0
RARS1	0	0.6	3.8	0.2	2	0
RBBP4	0	0.4	0	0	1.1	7.4
RBBP7	0	0	0	0	0	5.2
RBM14	0.4	0	0	0	0	2
RBM3	0	3.2	0	0	0.4	0
RBM39	0	2.3	0	0	0	0
RBM4	0	0	0	0	2.6	2
RBMX	0.4	0	0	0	0.8	15.9
RBP1	1.8	1.8	0	0	2	0.2
REEP5	0	2.9	0	0	2.9	0
RET	9.4	9.3	6.1	6.4	1.4	5.4
RHOA	0	0	0.8	0	0	0
RNPEP	1.8	2.1	1.9	0.2	4.2	0
RPL10	0	0.8	1.4	2.5	2.3	0.2
RPL10A	2.5	0.4	0.9	0.8	0	0
RPL11	0.9	2.5	1.3	0.8	0.8	0
RPL12	0.8	0	1.5	1.8	2	2.5
RPL13	5.1	4.4	5.1	3.6	3.5	2.6
RPL14	4.5	0	5.1	3.8	0	0.4
RPL15	0	0	1.3	0	0	1.8
RPL17	4.1	0	0.4	0	0	0
RPL18	6.3	0	5.1	7.4	3.7	2.5
RPL18A	0	2.5	0.4	0	0	0
RPL19	0	0	0	1.8	0	0.9
RPL21	5.1	0	3.8	4.1	0	0
RPL23	3.6	4.1	6.3	5.1	0	3.8
RPL23A	2.1	0	4.2	2.9	4.1	2
RPL24	3.2	0	4.1	2.3	0	2.4
RPL27	2.9	0.9	3.8	0	4.1	1.8
RPL27A	0	0	1.4	0	0	0.2
RPL28	0.8	0	1.8	1.1	1.4	0
RPL3	0.2	0	2.5	1.8	1.8	2.5
RPL30	3.6	0	2.9	0.2	2	0
RPL31	0	0.8	2.5	2.5	2.5	1.8
RPL32	0.8	0	1.8	1.8	0.4	0
RPL35	0	0	0.4	0.4	0.4	0
RPL36	1.1	0	1.8	3.6	0	0.8
RPL4	4.5	0	9.4	7.8	0	4.8
RPL5	1.5	0	4.1	1.4	0	0
RPL6	5.1	3.8	7	6.3	1.3	5.5
RPL7	4.1	1.8	5.1	2.5	0	0
RPL7A	6.1	0.9	9.8	8.1	7.8	4.8
RPL8	2.5	0	1.4	3.2	1.4	0.8
RPLP0	4	0	3.6	4.9	0.2	2.3
RPLP2	2.9	4.3	6.8	4.4	3.8	8
RPN1	0.8	0.2	6.8	5.4	0.9	1.5
RPS10	0	0	2	0	1.3	0
RPS11	5.9	0	8.9	3.2	0	4.3
RPS12	16.2	14.4	22.1	15.6	25.2	7.8
RPS13	1.3	0	0.8	0.9	0	0
RPS14	7	5.2	9.2	5.1	5.1	5.2
RPS15A	2	0	1.7	0	0	0.8
RPS16	5.5	4	10.7	5.1	6.1	1.3
RPS17	2.5	1.5	2.3	3.8	0.2	2
RPS18	8.2	7.8	8.6	9.7	13	6.1
RPS19	3.8	0	4.1	4.1	0	0.8
RPS2	6.8	0	10.3	10.7	3.2	0.4
RPS20	1.3	0	0.9	1.4	3.2	2.4
RPS21	0.8	0	0.8	0	0.4	0.9
RPS23	2.5	4.5	3.7	2.1	0	2.3
RPS24	0	0	0.8	0	0.9	0
RPS25	2	0.8	4.8	1.8	1.1	0
RPS26	0	2	2.5	2.1	0	3.2
RPS27	0	0	0.2	2.1	1.3	3.1
RPS27A	6.1	4.1	7.4	8.9	4.1	5.1
RPS28	0	5.1	0	0	0.4	0
RPS29	2.5	0	2.4	2.1	0	0.6
RPS3	11.1	0	16.9	10.6	6.8	6
RPS3A	1.8	0.6	9.9	8.5	5.2	4.9
RPS4X	9.8	3.8	14.4	8.9	3.8	8.9
