seqnames	start	end	width	strand	length	abs_summit	pileup	X.log10.pvalue.	fold_enrichment	X.log10.qvalue.	name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	25430441	25430753	313	*	314	25430583	26.44	18.32329	7.8337	14.02179	peak_12	Promoter (<=1kb)	1	25430858	25500205	69348	1	55219	ENST00000399766.7	-105	ENSG00000204178	MACO1	macoilin 1
chr1	30824243	30824499	257	*	258	30824309	17.35	9.6591	5.23898	5.65763	peak_13	Promoter (<=1kb)	1	30824272	30834282	10011	1	105378622	ENST00000659416.1	0	ENSG00000223382	LINC01778	long intergenic non-protein coding RNA 1778
chr1	33060661	33061057	397	*	398	33060796	35.54	18.51631	6.08917	14.20628	peak_14	Intron (ENST00000548559.1/204, intron 2 of 4)	1	33021607	33080996	59390	2	204	ENST00000548559.1	19939	ENSG00000004455	AK2	adenylate kinase 2
chr1	44674213	44674489	277	*	278	44674299	18.18	8.63187	4.48194	4.69441	peak_15	Promoter (<=1kb)	1	44635238	44674459	39222	2	107984950	ENST00000372242.7	0	NA	LOC107984950	uncharacterized LOC107984950
chr1	58929632	58929960	329	*	330	58929792	17.35	8.44714	4.58858	4.5171	peak_16	Promoter (<=1kb)	1	58882868	58930166	47299	2	105378753	ENST00000669325.1	206	ENSG00000232453	LINC02777	long intergenic non-protein coding RNA 2777
chr1	61453245	61453498	254	*	255	61453308	15.7	6.57651	3.99687	2.80335	peak_17	Intron (ENST00000371191.5/4774, intron 10 of 10)	1	61406672	61455874	49203	1	4774	ENST00000493627.1	46573	ENSG00000162599	NFIA	nuclear factor I A
chr1	64623800	64624580	781	*	782	64623967	39.67	25.52196	8.13341	21.06771	peak_18	Intron (ENST00000651257.2/57685, intron 4 of 26)	1	64664200	64666140	1941	1	57685	ENST00000486580.1	-39620	ENSG00000158966	CACHD1	cache domain containing 1
chr1	121613192	121613444	253	*	254	121613229	45.45	12.00566	3.31799	7.89645	peak_19	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-32668	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	121614811	121615451	641	*	642	121614994	43.8	13.25978	3.73325	9.10853	peak_20	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-34287	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	121751967	121753841	1875	*	1876	121753288	33.06	16.81004	5.67598	12.54815	peak_21	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-171443	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	121767321	121767659	339	*	340	121767530	22.31	6.99767	3.33039	3.19234	peak_22	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-186797	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	121769228	121770473	1246	*	1247	121770005	23.97	6.61725	3.19603	2.83754	peak_23	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-188704	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	121860459	121860714	256	*	257	121860490	44.63	9.49879	2.85159	5.50794	peak_24	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-279935	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122519749	122520108	360	*	361	122519898	27.27	9.06617	3.64274	5.10044	peak_25	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-939225	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122522696	122523379	684	*	685	122522716	26.44	6.98403	3.04941	3.18044	peak_26	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-942172	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122524507	122525932	1426	*	1427	122524783	43.8	13.25978	3.73325	9.10853	peak_27	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-943983	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122539633	122540309	677	*	678	122539890	23.97	6.41011	3.12069	2.6492	peak_28	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-959109	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122546956	122547608	653	*	654	122547236	38.01	14.46717	4.33492	10.27642	peak_29	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-966432	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122548484	122550115	1632	*	1633	122549469	33.88	11.02453	3.84472	6.95927	peak_30	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-967960	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122553560	122553906	347	*	348	122553905	39.67	5.27274	2.14037	1.66196	peak_31	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-973036	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122612606	122612893	288	*	289	122612744	22.31	10.14836	4.62886	6.12417	peak_32	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1032082	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122624350	122625146	797	*	798	122624798	30.58	9.27005	3.50852	5.29167	peak_33	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1043826	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122646819	122647610	792	*	793	122647421	23.14	6.41011	3.01739	2.6492	peak_34	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1066295	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122670535	122671189	655	*	656	122671061	24.79	5.931	2.86577	2.23249	peak_35	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1090011	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122683261	122683812	552	*	553	122683322	39.67	5.84888	2.25928	2.16034	peak_36	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1102737	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122692743	122693543	801	*	802	122692783	30.58	10.18829	3.79712	6.16315	peak_37	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1112219	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122694750	122695084	335	*	336	122695058	24.79	6.96909	3.22399	3.16637	peak_38	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1114226	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122700730	122702205	1476	*	1477	122701472	50.41	19.2793	4.63532	14.95413	peak_39	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1120206	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122725386	122725778	393	*	394	122725592	18.18	8.12347	4.23244	4.21292	peak_40	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1144862	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122735231	122735929	699	*	700	122735590	20.66	7.02706	3.58283	3.22008	peak_41	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1154707	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122765947	122766253	307	*	308	122766149	27.27	7.45382	3.11604	3.59818	peak_42	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1185423	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122773833	122774135	303	*	304	122773921	19.01	7.50427	3.78302	3.64508	peak_43	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1193309	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122781066	122781331	266	*	267	122781240	18.18	7.26902	3.8276	3.4231	peak_44	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1200542	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122790284	122790800	517	*	518	122790722	18.18	7.93223	4.14025	4.04269	peak_45	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1209760	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122798135	122799417	1283	*	1284	122798995	35.54	8.70635	3.04459	4.76416	peak_46	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1217611	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122826795	122827856	1062	*	1063	122827675	24.79	6.96909	3.22399	3.16637	peak_47	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1246271	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122850530	122850798	269	*	270	122850625	25.62	6.4496	2.95759	2.68676	peak_48	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1270006	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122853450	122853717	268	*	269	122853714	19.83	6.46191	3.47225	2.69478	peak_49	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1272926	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122889705	122890533	829	*	830	122889821	31.4	6.69973	2.70026	2.91465	peak_50	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1309181	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122904236	122904529	294	*	295	122904316	25.62	5.67719	2.70798	2.00233	peak_51	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1323712	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122912336	122912620	285	*	286	122912600	27.27	7.53378	3.14123	3.67206	peak_52	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1331812	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	122971631	122972044	414	*	415	122971887	18.18	7.65719	4.00926	3.78647	peak_53	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1391107	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123011619	123012087	469	*	470	123011647	28.1	9.36461	3.63719	5.38129	peak_54	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1431095	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123107244	123107662	419	*	420	123107516	16.53	7.66459	4.38198	3.79152	peak_55	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1526720	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123176869	123177324	456	*	457	123176907	15.7	6.40009	3.90263	2.64413	peak_56	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1596345	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123199693	123200560	868	*	869	123200458	24.79	12.56869	5.50732	8.44191	peak_57	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1619169	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123225816	123226108	293	*	294	123225965	39.67	12.13421	3.697	8.02111	peak_58	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1645292	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123422556	123423325	770	*	771	123423044	22.31	5.86828	2.91409	2.1739	peak_59	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1842032	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123445562	123445960	399	*	400	123445694	22.31	10.22378	4.66254	6.19579	peak_60	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1865038	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123469009	123469565	557	*	558	123469216	16.53	8.79877	5.0031	4.84419	peak_61	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1888485	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123503211	123503585	375	*	376	123503456	20.66	8.64837	4.30069	4.7101	peak_62	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1922687	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123559856	123560807	952	*	953	123560286	29.75	11.59223	4.3929	7.49885	peak_63	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-1979332	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123597000	123597587	588	*	589	123597075	37.19	14.51051	4.45692	10.31859	peak_64	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2016476	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123604786	123605602	817	*	818	123605402	17.35	5.26629	3.05905	1.65591	peak_65	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2024262	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123677520	123677903	384	*	385	123677746	22.31	7.95218	3.70175	4.062	peak_66	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2096996	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123809546	123810371	826	*	827	123810334	19.83	7.99138	4.1667	4.08833	peak_67	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2229022	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123926223	123927217	995	*	996	123926595	33.88	12.57369	4.32585	8.44618	peak_68	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2345699	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123927566	123927930	365	*	366	123927746	20.66	7.09102	3.60999	3.27881	peak_69	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2347042	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	123999397	123999747	351	*	352	123999400	19.01	5.28566	2.85816	1.67083	peak_70	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2418873	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124012654	124012962	309	*	310	124012769	61.15	8.23984	2.21976	4.32203	peak_71	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2432130	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124030113	124030652	540	*	541	124030543	17.35	8.44261	4.58622	4.51428	peak_72	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2449589	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124043797	124044464	668	*	669	124043980	20.66	7.09102	3.60999	3.27881	peak_73	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2463273	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124164441	124164801	361	*	362	124164445	14.88	5.25176	3.46445	1.64611	peak_74	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2583917	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124176780	124177396	617	*	618	124176925	20.66	7.09102	3.60999	3.27881	peak_75	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2596256	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124178523	124178822	300	*	301	124178642	19.01	7.99138	4.00142	4.08833	peak_76	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2597999	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124239819	124240533	715	*	716	124240296	18.18	7.28745	3.83614	3.43853	peak_77	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2659295	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124290647	124290914	268	*	269	124290743	22.31	10.22378	4.66254	6.19579	peak_78	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2710123	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124318286	124319042	757	*	758	124318962	24.79	9.79599	4.29865	5.78921	peak_79	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2737762	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124343622	124344319	698	*	699	124343641	40.49	6.23803	2.30519	2.5081	peak_80	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2763098	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124362950	124363748	799	*	800	124363731	23.14	7.60524	3.44844	3.73783	peak_81	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2782426	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124413002	124413711	710	*	711	124413557	22.31	6.99767	3.33039	3.19234	peak_82	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2832478	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124437424	124438285	862	*	863	124437947	39.67	6.48464	2.39218	2.71643	peak_83	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2856900	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124454334	124454689	356	*	357	124454633	28.92	8.09835	3.32488	4.18926	peak_84	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2873810	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124486106	124486560	455	*	456	124486126	19.01	9.82931	4.87625	5.82065	peak_85	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2905582	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124500498	124501074	577	*	578	124501028	19.83	6.46191	3.47225	2.69478	peak_86	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2919974	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124507484	124507958	475	*	476	124507911	21.49	9.46042	4.49726	5.47045	peak_87	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2926960	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124510971	124511506	536	*	537	124511347	16.53	8.14875	4.64314	4.23566	peak_88	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2930447	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124531440	124532184	745	*	746	124531510	33.06	14.53762	4.86512	10.34284	peak_89	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2950916	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124533226	124533525	300	*	301	124533278	23.14	6.41011	3.01739	2.6492	peak_90	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2952702	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124562062	124562522	461	*	462	124562475	32.23	8.1324	3.02086	4.22121	peak_91	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2981538	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124562797	124563100	304	*	305	124563048	19.83	7.54519	3.95816	3.68227	peak_92	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2982273	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124568484	124568997	514	*	515	124568734	32.23	5.61949	2.37353	1.94766	peak_93	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-2987960	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124603625	124604068	444	*	445	124603932	22.31	10.68882	4.87294	6.63892	peak_94	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3023101	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124613458	124613741	284	*	285	124613462	30.58	5.47216	2.42897	1.83303	peak_95	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3032934	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124614131	124614395	265	*	266	124614241	29.75	5.77257	2.56252	2.09172	peak_96	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3033607	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124686426	124686823	398	*	399	124686513	25.62	12.62006	5.32366	8.49013	peak_97	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3105902	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124694823	124695265	443	*	444	124694939	19.01	8.19763	4.09561	4.28308	peak_98	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3114299	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124700737	124701577	841	*	842	124700775	42.97	14.01293	3.99751	9.83686	peak_99	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3120213	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124706050	124706732	683	*	684	124706053	28.92	7.02967	2.99239	3.2215	peak_100	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3125526	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124735433	124735766	334	*	335	124735708	17.35	5.30144	3.07453	1.68592	peak_101	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3154909	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124741899	124742218	320	*	321	124741954	27.27	9.35087	3.73999	5.36925	peak_102	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3161375	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124761720	124761996	277	*	278	124761835	19.83	5.28566	2.97622	1.67083	peak_103	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3181196	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	124763528	124763980	453	*	454	124763921	27.27	10.20195	4.03873	6.17568	peak_104	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3183004	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	125166957	125167223	267	*	268	125167186	345.43	16.67438	1.62645	12.41774	peak_105	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3586433	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	125167573	125167912	340	*	341	125167858	428.07	24.20831	1.70946	19.77862	peak_106	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3587049	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	125178916	125180662	1747	*	1748	125180189	8136.7	817.75848	2.15055	811.2099	peak_107	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3598392	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	125181713	125183233	1521	*	1522	125182565	3339.47	165.14427	1.67358	160.00296	peak_108	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3601189	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	125183549	125183886	338	*	339	125183800	1188.36	15.78624	1.27888	11.55438	peak_109	Distal Intergenic	1	121573946	121580524	6579	2	107985195	ENST00000450546.1	-3603025	NA	LINC01691	long intergenic non-protein coding RNA 1691
chr1	143184747	143185315	569	*	570	143185121	1581.72	110.88215	1.86169	105.82944	peak_110	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	234892	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143190361	143191198	838	*	839	143190664	1175.96	43.06832	1.54053	38.37672	peak_111	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	229009	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143192574	143193860	1287	*	1288	143193043	2666.78	156.59834	1.76015	151.46509	peak_112	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	226347	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143194343	143195710	1368	*	1369	143195165	2086.65	117.09913	1.73393	112.03284	peak_113	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	224497	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143200279	143200922	644	*	645	143200342	1197.45	52.7295	1.61299	47.94947	peak_114	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	219285	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143202496	143202849	354	*	355	143202614	1698.24	86.15079	1.68076	81.16959	peak_115	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	217358	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143206266	143206769	504	*	505	143206452	1176.79	22.36182	1.35067	17.96752	peak_116	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	213438	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
chr1	143211833	143214792	2960	*	2961	143214771	3301.45	10.95428	1.12596	6.89367	peak_117	Distal Intergenic	1	143419625	143420207	583	2	107985200	ENST00000622095.1	205415	ENSG00000232527	LOC107985200	uncharacterized LOC107985200
