Gene ID	Transcript ID	Transcript length
ENSG00000142599	ENST00000492766	367
ENSG00000142599	ENST00000464367	639
ENSG00000142599	ENST00000467350	410
ENSG00000142599	ENST00000656437	3574
ENSG00000142599	ENST00000480342	2710
ENSG00000142599	ENST00000469251	355
ENSG00000142599	ENST00000337907	8026
ENSG00000142599	ENST00000476556	4598
ENSG00000142599	ENST00000400908	8009
ENSG00000142599	ENST00000468247	414
ENSG00000142599	ENST00000659924	2990
ENSG00000142606	ENST00000509374	546
ENSG00000142606	ENST00000469962	460
ENSG00000142606	ENST00000511099	554
ENSG00000142606	ENST00000471840	552
ENSG00000142606	ENST00000378412	2879
ENSG00000142606	ENST00000491941	482
ENSG00000142606	ENST00000502556	1943
ENSG00000142606	ENST00000504800	2443
ENSG00000142606	ENST00000464195	559
ENSG00000142611	ENST00000378389	1142
ENSG00000142611	ENST00000606170	557
ENSG00000142611	ENST00000607632	581
ENSG00000142611	ENST00000509860	3737
ENSG00000142611	ENST00000378391	5447
ENSG00000142611	ENST00000511072	4282
ENSG00000142611	ENST00000463591	384
ENSG00000142611	ENST00000270722	8698
ENSG00000142611	ENST00000512462	3723
ENSG00000142611	ENST00000514189	4236
ENSG00000142655	ENST00000492696	250
ENSG00000142655	ENST00000472851	805
ENSG00000142655	ENST00000491661	637
ENSG00000142655	ENST00000356607	1922
ENSG00000149527	ENST00000378486	4870
ENSG00000149527	ENST00000473964	6986
ENSG00000149527	ENST00000419816	4837
ENSG00000149527	ENST00000343889	6453
ENSG00000149527	ENST00000609981	568
ENSG00000149527	ENST00000278878	3781
ENSG00000149527	ENST00000462379	2341
ENSG00000149527	ENST00000449969	5450
ENSG00000157911	ENST00000502666	653
ENSG00000157911	ENST00000288774	2905
ENSG00000157911	ENST00000650293	2260
ENSG00000157911	ENST00000447513	2835
ENSG00000157911	ENST00000507596	1941
ENSG00000157911	ENST00000515760	603
ENSG00000157911	ENST00000510434	907
ENSG00000157911	ENST00000508384	611
ENSG00000157911	ENST00000514502	548
ENSG00000157933	ENST00000507179	539
ENSG00000157933	ENST00000378536	6083
ENSG00000157933	ENST00000478223	294
ENSG00000157933	ENST00000508416	252
ENSG00000158109	ENST00000378344	2401
ENSG00000158109	ENST00000344579	2189
ENSG00000159423	ENST00000290597	2124
ENSG00000159423	ENST00000454547	485
ENSG00000159423	ENST00000538309	1940
ENSG00000159423	ENST00000538839	2957
ENSG00000159423	ENST00000432718	844
ENSG00000159423	ENST00000375341	3139
ENSG00000160072	ENST00000472194	4314
ENSG00000160072	ENST00000308647	2114
ENSG00000160072	ENST00000485748	3233
ENSG00000160072	ENST00000378736	414
ENSG00000160072	ENST00000474481	3367
ENSG00000160072	ENST00000673477	4098
ENSG00000162441	ENST00000471853	487
ENSG00000162441	ENST00000400903	1405
ENSG00000162441	ENST00000377213	945
ENSG00000162441	ENST00000377223	4989
ENSG00000162441	ENST00000488540	652
ENSG00000162494	ENST00000376085	2168
ENSG00000162496	ENST00000430996	826
ENSG00000162496	ENST00000482265	1036
ENSG00000162496	ENST00000464917	539
ENSG00000162496	ENST00000616661	2201
ENSG00000162571	ENST00000379289	2288
ENSG00000162571	ENST00000514695	219
ENSG00000162571	ENST00000673999	568
ENSG00000162571	ENST00000379288	2114
ENSG00000162571	ENST00000506177	557
ENSG00000162571	ENST00000379290	2307
ENSG00000162571	ENST00000486379	426
ENSG00000162571	ENST00000460998	718
ENSG00000162572	ENST00000470022	645
ENSG00000162572	ENST00000325425	2679
ENSG00000162572	ENST00000338555	3475
ENSG00000162572	ENST00000467651	204
ENSG00000162572	ENST00000379101	2268
ENSG00000162572	ENST00000400928	2731
ENSG00000162572	ENST00000379099	923
ENSG00000162572	ENST00000379116	3050
ENSG00000162591	ENST00000475790	883
ENSG00000162591	ENST00000294599	4501
ENSG00000162591	ENST00000356575	7443
ENSG00000162591	ENST00000485002	4705
ENSG00000162591	ENST00000494257	1174
ENSG00000162591	ENST00000461795	418
ENSG00000162591	ENST00000491842	743
ENSG00000162592	ENST00000636250	2685
ENSG00000162592	ENST00000294600	2125
ENSG00000162592	ENST00000462521	2252
ENSG00000169962	ENST00000339381	3475
ENSG00000169972	ENST00000463758	940
ENSG00000169972	ENST00000467712	877
ENSG00000169972	ENST00000470520	769
ENSG00000169972	ENST00000379031	1257
ENSG00000169972	ENST00000493657	1783
ENSG00000171603	ENST00000361311	4647
ENSG00000171603	ENST00000477264	2169
ENSG00000171603	ENST00000377298	4760
ENSG00000171603	ENST00000650348	4457
ENSG00000171603	ENST00000464286	563
ENSG00000171603	ENST00000435891	3829
ENSG00000171621	ENST00000357898	1439
ENSG00000171621	ENST00000377399	1007
ENSG00000171621	ENST00000328089	3106
ENSG00000171621	ENST00000450402	822
ENSG00000171729	ENST00000400796	1842
ENSG00000171729	ENST00000376014	1843
ENSG00000171729	ENST00000451326	766
ENSG00000171729	ENST00000434578	1861
ENSG00000171729	ENST00000428417	1942
ENSG00000171729	ENST00000376008	1971
ENSG00000173614	ENST00000377205	3734
ENSG00000173614	ENST00000492735	514
ENSG00000173614	ENST00000496751	485
ENSG00000173614	ENST00000403197	1094
ENSG00000173614	ENST00000462686	1818
ENSG00000173673	ENST00000377898	710
ENSG00000175262	ENST00000520253	2359
ENSG00000175262	ENST00000476357	2377
ENSG00000175262	ENST00000418570	2265
ENSG00000175262	ENST00000468348	340
ENSG00000175262	ENST00000377004	2761
ENSG00000176022	ENST00000379198	2805
ENSG00000184163	ENST00000486627	639
ENSG00000184163	ENST00000468365	647
ENSG00000184163	ENST00000478606	522
ENSG00000184163	ENST00000330388	1036
ENSG00000184163	ENST00000462849	682
ENSG00000186827	ENST00000379236	1075
ENSG00000186827	ENST00000453580	393
ENSG00000186827	ENST00000497869	1707
ENSG00000186891	ENST00000486728	727
ENSG00000186891	ENST00000328596	851
ENSG00000186891	ENST00000379265	705
ENSG00000186891	ENST00000379268	1083
ENSG00000198744	ENST00000416718	547
ENSG00000204624	ENST00000294484	5265
ENSG00000204624	ENST00000423056	910
ENSG00000204624	ENST00000304391	1495
ENSG00000215720	ENST00000400795	710
ENSG00000223663	ENST00000435351	367
ENSG00000223989	ENST00000454104	424
ENSG00000224051	ENST00000343938	2154
ENSG00000224051	ENST00000488011	783
ENSG00000224051	ENST00000464957	1101
ENSG00000224315	ENST00000428803	703
ENSG00000224338	ENST00000435243	565
ENSG00000224340	ENST00000456484	337
ENSG00000224387	ENST00000424657	455
ENSG00000225630	ENST00000457540	1044
ENSG00000225931	ENST00000456687	1297
ENSG00000225972	ENST00000416931	372
ENSG00000226374	ENST00000425194	986
ENSG00000226374	ENST00000635247	1646
ENSG00000226374	ENST00000635127	1402
ENSG00000226374	ENST00000671015	1253
ENSG00000226457	ENST00000445689	381
ENSG00000226545	ENST00000445254	415
ENSG00000227372	ENST00000649348	3772
ENSG00000227372	ENST00000648717	722
ENSG00000227372	ENST00000648600	3088
ENSG00000227372	ENST00000423764	3525
ENSG00000227372	ENST00000650037	2564
ENSG00000227372	ENST00000647817	4601
ENSG00000227372	ENST00000624167	988
ENSG00000227372	ENST00000648935	3237
ENSG00000227372	ENST00000648553	3110
ENSG00000227372	ENST00000649123	4164
ENSG00000227372	ENST00000637775	1455
ENSG00000227372	ENST00000650039	2307
ENSG00000227372	ENST00000419973	657
ENSG00000227372	ENST00000648526	1193
ENSG00000227372	ENST00000608600	597
ENSG00000227372	ENST00000650545	2408
ENSG00000227372	ENST00000648432	2816
ENSG00000227372	ENST00000648479	3719
ENSG00000227372	ENST00000452079	6358
ENSG00000227372	ENST00000587071	737
ENSG00000227372	ENST00000636630	2529
ENSG00000227372	ENST00000649468	2363
ENSG00000227372	ENST00000418088	3697
ENSG00000227372	ENST00000649413	1967
ENSG00000227372	ENST00000648270	1874
ENSG00000227372	ENST00000649290	2652
ENSG00000227372	ENST00000624948	714
ENSG00000227372	ENST00000647686	2494
ENSG00000227372	ENST00000647831	3831
ENSG00000227589	ENST00000443034	754
ENSG00000228037	ENST00000424215	626
ENSG00000228150	ENST00000445884	440
ENSG00000228423	ENST00000433876	353
ENSG00000228463	ENST00000424587	5603
ENSG00000228463	ENST00000634344	1554
ENSG00000228463	ENST00000450734	457
ENSG00000228463	ENST00000441866	2256
ENSG00000228463	ENST00000448958	2250
ENSG00000228463	ENST00000442116	1292
ENSG00000229280	ENST00000449232	372
ENSG00000229305	ENST00000453364	1075
ENSG00000229344	ENST00000427426	682
ENSG00000229393	ENST00000442305	514
ENSG00000230021	ENST00000648019	1216
ENSG00000230021	ENST00000414688	421
ENSG00000230021	ENST00000635509	941
ENSG00000230021	ENST00000441245	629
ENSG00000230021	ENST00000440200	413
ENSG00000230021	ENST00000452176	818
ENSG00000230021	ENST00000641296	1127
ENSG00000230021	ENST00000417636	553
ENSG00000230021	ENST00000634833	906
ENSG00000230021	ENST00000447954	355
ENSG00000230021	ENST00000440196	1022
ENSG00000230021	ENST00000634337	891
ENSG00000230021	ENST00000357876	1702
ENSG00000230021	ENST00000419394	491
ENSG00000230021	ENST00000636676	183
ENSG00000231181	ENST00000435277	559
ENSG00000231510	ENST00000443270	449
ENSG00000232596	ENST00000420522	682
ENSG00000232596	ENST00000635556	914
ENSG00000232596	ENST00000666685	1096
ENSG00000232596	ENST00000634256	1107
ENSG00000232596	ENST00000661628	1531
ENSG00000232596	ENST00000659083	1213
ENSG00000232596	ENST00000667354	713
ENSG00000232596	ENST00000659059	1205
ENSG00000232663	ENST00000431968	163
ENSG00000233623	ENST00000416729	680
ENSG00000233645	ENST00000424689	477
ENSG00000233653	ENST00000432723	2477
ENSG00000234064	ENST00000418187	1139
ENSG00000234396	ENST00000442483	326
ENSG00000235054	ENST00000671656	769
ENSG00000235054	ENST00000423197	2077
ENSG00000235054	ENST00000667352	1278
ENSG00000235054	ENST00000663417	984
ENSG00000235054	ENST00000668086	1605
ENSG00000235054	ENST00000659315	1590
ENSG00000235054	ENST00000635002	1392
ENSG00000235054	ENST00000670434	1125
ENSG00000235054	ENST00000665284	853
ENSG00000235054	ENST00000633821	686
ENSG00000235054	ENST00000669931	1803
ENSG00000235054	ENST00000635312	1509
ENSG00000235054	ENST00000635642	1347
ENSG00000235146	ENST00000423796	607
ENSG00000235146	ENST00000450696	402
ENSG00000236601	ENST00000412666	426
ENSG00000236601	ENST00000450983	607
ENSG00000236601	ENST00000635159	994
ENSG00000236679	ENST00000458203	385
ENSG00000237094	ENST00000445840	183
ENSG00000237094	ENST00000423728	838
ENSG00000237094	ENST00000455464	902
ENSG00000237094	ENST00000599771	457
ENSG00000237094	ENST00000641916	622
ENSG00000237094	ENST00000432964	575
ENSG00000237094	ENST00000642124	456
ENSG00000237094	ENST00000642074	574
ENSG00000237094	ENST00000641579	545
ENSG00000237094	ENST00000601486	696
ENSG00000237094	ENST00000440038	793
ENSG00000237094	ENST00000419160	547
ENSG00000237094	ENST00000608420	438
ENSG00000237094	ENST00000453935	498
ENSG00000237094	ENST00000641049	519
ENSG00000237094	ENST00000440163	462
ENSG00000237094	ENST00000455207	413
ENSG00000237094	ENST00000601814	635
ENSG00000237094	ENST00000431812	336
ENSG00000237094	ENST00000431321	437
ENSG00000237094	ENST00000616311	728
ENSG00000237094	ENST00000641303	384
ENSG00000237094	ENST00000641063	473
ENSG00000237094	ENST00000616947	603
ENSG00000237094	ENST00000641845	571
ENSG00000237365	ENST00000456701	349
ENSG00000237402	ENST00000427317	365
ENSG00000237728	ENST00000411708	391
ENSG00000237728	ENST00000618051	433
ENSG00000237973	ENST00000414273	1543
ENSG00000238173	ENST00000448289	150
ENSG00000240409	ENST00000467115	207
ENSG00000241326	ENST00000413148	436
ENSG00000248527	ENST00000514057	681
ENSG00000260179	ENST00000565563	1558
ENSG00000260972	ENST00000564261	1697
ENSG00000268663	ENST00000438434	424
ENSG00000269896	ENST00000602865	2407
ENSG00000269896	ENST00000417061	214
ENSG00000269978	ENST00000602916	267
ENSG00000270035	ENST00000602973	570
ENSG00000271264	ENST00000603781	246
ENSG00000272161	ENST00000607720	493
ENSG00000272235	ENST00000607061	3461
ENSG00000279457	ENST00000623083	1397
ENSG00000279804	ENST00000624297	2067
ENSG00000279928	ENST00000624431	570
ENSG00000280113	ENST00000639753	1983
ENSG00000280113	ENST00000623863	649
ENSG00000284616	ENST00000641871	1225
ENSG00000284646	ENST00000641979	742
ENSG00000284674	ENST00000641403	1580
ENSG00000284694	ENST00000641472	3402
ENSG00000284703	ENST00000642139	4817
ENSG00000284708	ENST00000642131	2094
ENSG00000284739	ENST00000641254	464
ENSG00000285629	ENST00000484532	663
ENSG00000285701	ENST00000648956	762
ENSG00000286448	ENST00000669836	736
ENSG00000287356	ENST00000659232	4032
ENSG00000287356	ENST00000661319	5675
ENSG00000287586	ENST00000661891	2954
ENSG00000287586	ENST00000658045	3030
ENSG00000287727	ENST00000663738	2876
