Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj
ABCA10	6.14814	3.28269	1.08137	2.85784	0.00426541	0.00761275
ABCA11P	28.8679	0.0023949	0.446492	0.00536374	0.99572	0.996402
ABCA12	10.7183	-2.74503	0.858349	-3.10585	0.00189734	0.00353969
ABCA13	2.24246	-1.13017	1.33274	-0.836644	0.402793	0.474864
ABCA17P	16.4871	2.53666	0.646756	3.88978	0.000100337	0.000214854
ABCA2	6305.64	3.1513	0.0548102	57.4927	0	0
ABCA3	1155.2	2.9944	0.0973577	30.7509	1.18999e-207	6.30802e-206
ABCA4	15.0815	-0.671322	0.618402	-1.08463	0.278084	0.345655
ABCA5	98.0112	1.31037	0.252685	5.18482	2.16223e-07	5.81701e-07
ABCA6	10.7474	4.12082	0.987256	3.82743	0.00012949	0.000274699
ABCA7	373.565	-0.367175	0.137004	-2.67999	0.00736251	0.0127198
ABCA8	92.6014	3.70754	0.339518	10.8579	1.82992e-27	1.12936e-26
ABCA9	17.0153	4.35393	0.848869	4.79754	1.60629e-06	4.04826e-06
ABCB1	70.7583	1.9945	0.309507	6.43842	1.20723e-10	4.0004e-10
ABCB10	87.0785	-0.567175	0.262678	-2.15894	0.030855	0.0478844
ABCB11	1.42356	-0.320149	1.45673	-0.219263	0.826445	NA
ABCB4	8.38745	-2.35324	0.915991	-2.51013	0.0120686	0.0201345
ABCB5	8.86698	-3.3299	1.01395	-3.06015	0.00221229	0.00409028
ABCB6	411.389	-0.829953	0.128484	-6.45927	1.05209e-10	3.49887e-10
ABCB7	104.15	-1.62424	0.260996	-6.21872	5.01229e-10	1.60543e-09
ABCB8	389.014	0.228607	0.128217	1.78297	0.0745911	0.107418
ABCB9	211.025	1.99809	0.18264	10.9368	7.68379e-28	4.79956e-27
ABCC1	514.272	-2.88847	0.141867	-20.3465	4.98526e-92	9.3253e-91
ABCC10	226.337	0.0676931	0.167052	0.405223	0.685314	0.738652
ABCC11	5.8684	0.995198	0.967567	1.02744	0.304213	0.37379
ABCC12	6.99073	3.47307	1.06478	3.05469	0.00225294	0.0041593
ABCC13	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA
ABCC2	201.102	-6.2044	0.495593	-11.9516	6.36649e-33	4.54645e-32
ABCC3	108.947	-4.76328	0.445238	-10.4582	1.34325e-25	7.94358e-25
ABCC4	111.19	-3.09024	0.304434	-10.1099	4.9919e-24	2.83273e-23
ABCC5	451.685	1.30896	0.128153	10.2136	1.72323e-24	9.90042e-24
ABCC6	46.8921	-3.15844	0.468335	-6.6744	2.48243e-11	8.56406e-11
ABCC6P1	5.1636	-2.49503	1.11766	-2.13232	0.0329803	0.0508991
ABCC6P2	1.844	-0.793	1.37669	-0.571463	0.567686	NA
ABCC8	286.242	7.24965	0.487001	14.0988	3.86339e-45	3.6211e-44
ABCC9	22.9668	3.37367	0.62702	5.29367	1.19888e-07	3.29505e-07
ABCD1	182.405	-2.53532	0.223239	-11.3422	8.10466e-30	5.35207e-29
ABCD2	34.949	4.18295	0.592322	6.88239	5.88578e-12	2.09519e-11
ABCD3	147.589	-0.501639	0.203468	-2.4653	0.0136898	0.0226008
ABCD4	178.047	0.0628346	0.189601	0.331406	0.740338	0.786619
ABCE1	115.842	-1.19285	0.24483	-4.87053	1.11298e-06	2.84213e-06
ABCF1	657.09	-1.35528	0.107078	-12.6559	1.03718e-36	8.06088e-36
ABCF2	425.232	-0.483893	0.123931	-3.90446	9.44373e-05	0.00020279
ABCF3	419.891	0.643913	0.123815	5.20061	1.98631e-07	5.36098e-07
ABCG1	198.688	0.472253	0.176991	2.66824	0.00762501	0.0131397
ABCG2	66.8561	1.36823	0.306705	4.45968	8.20814e-06	1.94516e-05
ABCG4	182.436	5.86272	0.402071	14.2261	6.31204e-46	6.01581e-45
ABCG5	12.0219	-2.10337	0.752537	-2.76193	0.00574611	0.0100801
ABCG8	13.2921	-1.35715	0.675105	-2.00262	0.0452179	0.0680148
ABHD1	5.11156	-0.777181	0.977743	-0.792321	0.428174	0.500491
ABHD10	156.948	0.662196	0.196992	3.3615	0.000775195	0.00151364
ABHD11	118.847	-0.69844	0.235032	-2.97131	0.00296528	0.00539047
ABHD12	824.98	0.988313	0.0939632	10.518	7.13682e-26	4.2506e-25
ABHD12B	6.83627	1.74064	0.900759	1.92052	0.0547922	0.0812392
ABHD13	50.0218	0.145784	0.33877	0.430343	0.666946	0.722648
ABHD14A	323.887	2.19337	0.157241	13.9456	3.34641e-44	3.08059e-43
ABHD14B	311.791	-1.90322	0.157955	-12.0449	2.06251e-33	1.49232e-32
ABHD15	77.5361	-1.70547	0.31417	-5.42264	5.87257e-08	1.64943e-07
ABHD2	810.073	0.842989	0.0963168	8.75221	2.09208e-18	9.82012e-18
ABHD3	77.1634	-1.36053	0.298103	-4.56094	5.09244e-06	1.22922e-05
ABHD4	201.24	-0.466121	0.177233	-2.62988	0.00854139	0.0145984
ABHD5	77.0589	-0.281042	0.278433	-1.00932	0.31282	0.383292
ABHD6	214.53	2.14247	0.184144	11.6306	2.88191e-31	1.9822e-30
ABHD8	744.294	2.5884	0.109739	23.5825	5.8299e-123	1.50208e-121
ABI1	250.907	0.753211	0.158041	4.76586	1.88048e-06	4.71086e-06
ABI2	595.85	1.04689	0.108474	9.65091	4.87203e-22	2.59753e-21
ABI3	27.6309	1.57387	0.472363	3.32816	0.000874207	0.00169734
ABI3BP	14.7144	-0.26327	0.60997	-0.431519	0.666091	0.722192
ABL1	1000.61	-0.937701	0.0917998	-10.2144	1.70943e-24	9.8243e-24
ABL2	305.43	0.142682	0.14448	0.987557	0.323369	0.394894
ABLIM1	1894.14	3.08847	0.0775473	39.8219	0	0
ABLIM2	365.441	6.45274	0.340411	18.5664	6.00656e-77	9.40991e-76
ABLIM3	352.504	1.68671	0.140951	11.9653	5.39731e-33	3.85906e-32
ABO	17.3884	-2.32973	0.65507	-3.51785	0.000435054	0.000875899
ABP1	2.67757	-1.43263	1.27572	-1.10128	0.270775	0.337759
ABR	2087.96	2.35975	0.0776691	30.3807	9.86749e-203	5.04767e-201
ABRA	2.4557	1.25619	1.27995	0.975444	0.32934	0.400457
ABT1	173.293	-0.938514	0.200552	-4.679	2.88284e-06	7.11325e-06
ABTB1	554.059	3.10691	0.136328	22.7795	7.32012e-115	1.74036e-113
ABTB2	194.938	0.202022	0.179421	1.12597	0.260179	0.326569
ACAA1	417.448	0.474561	0.123625	3.83872	0.000123679	0.00026307
ACAA2	164.738	-1.23561	0.202492	-6.10048	1.05751e-09	3.32767e-09
ACACA	758.224	-0.082919	0.101638	-0.815828	0.414599	0.487407
ACACB	167.802	1.33757	0.197877	6.75881	1.39126e-11	4.85792e-11
ACAD10	162.062	-0.958328	0.200121	-4.78798	1.68467e-06	4.23787e-06
ACAD11	153.033	-0.20277	0.201853	-1.00452	0.315126	0.385686
ACAD8	193.347	0.600128	0.176986	3.39081	0.000696858	0.00136722
ACAD9	271.879	-0.25483	0.152335	-1.67281	0.0943649	0.132639
ACADL	4.00454	1.32574	1.10295	1.1963	0.231578	0.294824
ACADM	123.934	-0.01415	0.225383	-0.062782	0.94994	0.959842
ACADS	146.991	-0.541928	0.205045	-2.6428	0.00822239	0.0140875
ACADSB	113.523	0.0934636	0.227905	0.410101	0.681732	0.735469
ACADVL	1310.51	-0.650401	0.0779647	-8.34217	7.2941e-17	3.21644e-16
ACAN	20.1617	2.2763	0.575379	3.93747	8.23463e-05	0.000177893
ACAP1	46.241	-1.37896	0.378869	-3.63556	0.000277377	0.000569156
ACAP2	143.667	-0.295052	0.209322	-1.40952	0.158682	0.211342
ACAP3	1733.17	1.91825	0.0765309	25.0643	1.21903e-138	3.7459e-137
ACAT1	210.091	-0.842611	0.175577	-4.79863	1.59754e-06	4.0291e-06
ACAT2	250.757	-1.11311	0.163033	-6.82656	8.69762e-12	3.06566e-11
ACBD3	221.518	-0.628107	0.169136	-3.7134	0.000204493	0.000425173
ACBD4	154.025	0.670206	0.212876	3.14832	0.00164214	0.00309252
ACBD5	180.54	1.05853	0.191116	5.53838	3.05282e-08	8.72959e-08
ACBD6	244.997	-0.995302	0.16509	-6.02817	1.65828e-09	5.14794e-09
ACBD7	106.273	2.67433	0.27147	9.83654	7.83633e-23	4.28604e-22
ACCN1	125.422	6.65047	0.601121	10.2582	1.08765e-24	6.28378e-24
ACCN2	329.608	2.08922	0.149254	13.9948	1.67815e-44	1.55218e-43
ACCN3	144.81	1.66143	0.214365	7.74854	9.29517e-15	3.75877e-14
ACCN4	79.7617	0.748702	0.274858	2.72387	0.00645222	0.0112424
ACCN5	1.91555	1.4266	1.37486	1.02495	0.305389	NA
ACCS	34.8259	-1.96903	0.457284	-4.29104	1.77835e-05	4.07775e-05
ACCSL	1.3293	0.81223	1.47801	0.548102	0.583622	NA
ACD	246.742	-0.306379	0.164067	-1.86737	0.0618503	0.0907455
ACE	73.712	0.188249	0.307415	0.612365	0.540297	0.609101
ACE2	2.46001	-1.29284	1.29656	-0.98053	0.326824	0.398144
ACER2	12.7554	0.631986	0.652867	0.967907	0.333091	0.404094
ACER3	86.1304	0.636574	0.262423	2.42572	0.0152779	0.0249665
ACHE	276.989	4.14206	0.216739	19.0538	6.10541e-81	1.00211e-79
ACIN1	1303.56	-0.720509	0.0781352	-9.22121	2.93768e-20	1.47523e-19
ACLY	1364.83	-1.19338	0.0786868	-15.1658	5.96069e-52	6.33089e-51
ACMSD	2.91493	1.12437	1.20401	0.93004	0.35235	0.423506
ACN9	50.6227	-1.30173	0.355658	-3.65666	0.000255525	0.000526163
ACO1	278.323	-0.87861	0.157298	-5.58522	2.3341e-08	6.7105e-08
ACO2	909.847	1.45217	0.09491	15.3001	7.63226e-53	8.24604e-52
ACOT1	16.5665	0.578952	0.582116	0.994534	0.319963	0.391143
ACOT11	24.6213	0.803352	0.481255	1.66906	0.0951047	0.133556
ACOT12	1.42356	-0.320149	1.45673	-0.219263	0.826445	NA
ACOT13	117.175	-0.304877	0.235159	-1.29643	0.194829	0.253483
ACOT2	57.5012	-0.81157	0.327382	-2.47813	0.0132072	0.0218472
ACOT4	16.5726	1.53346	0.597128	2.56363	0.0103583	0.0174773
ACOT6	2.24548	1.67675	1.33467	1.23528	0.216724	0.278419
ACOT7	941.223	1.09446	0.0893726	12.246	1.76585e-34	1.30843e-33
ACOT8	158.692	0.696478	0.194873	3.57398	0.000351597	0.000714598
ACOT9	82.6031	-1.3764	0.296576	-4.63804	3.51724e-06	8.62402e-06
ACOX1	298.082	0.336909	0.144611	2.32978	0.019818	0.0318053
ACOX2	24.387	-0.81981	0.497159	-1.64767	0.0994202	0.139065
ACOX3	78.2274	0.176002	0.280954	0.626448	0.531021	0.600419
ACOXL	3.48885	-0.765045	1.14267	-0.666802	0.504899	0.574213
ACP1	358.709	-1.01439	0.137766	-7.36251	1.80477e-13	6.90354e-13
ACP2	272.739	0.378121	0.152573	2.4783	0.013201	0.0218452
ACP5	54.7312	-3.85254	0.498031	-7.59372	3.1084e-14	1.22865e-13
ACP6	71.4776	-1.87754	0.321773	-5.82632	5.66635e-09	1.70068e-08
ACPL2	102.194	-0.461772	0.243909	-1.89307	0.058348	0.0859736
ACPP	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044
ACPT	3.35046	-0.255972	1.13462	-0.225376	0.821687	0.855474
ACR	2.42997	1.25768	1.27695	0.978337	0.327908	0.398992
ACRBP	11.0571	0.711916	0.692279	1.02816	0.303876	0.373428
ACRC	16.2268	1.06571	0.603554	1.76462	0.0776271	0.111342
ACRV1	5.35252	0.606347	0.959637	0.631683	0.527594	0.597005
ACSBG1	190.619	4.58617	0.285687	15.9432	3.17511e-57	3.72645e-56
ACSBG2	3.84246	0.645899	1.07479	0.600657	0.548069	0.616397
ACSF2	157.912	-1.04473	0.213196	-4.89939	9.6135e-07	2.46642e-06
ACSF3	222.109	-0.669715	0.170042	-3.93829	8.20649e-05	0.000177373
ACSL1	223.528	1.05132	0.169398	6.20598	5.43557e-10	1.73721e-09
ACSL3	484.496	-0.411517	0.117564	-3.50031	0.000464715	0.000932193
ACSL4	305.29	-1.01958	0.149588	-6.81532	9.40565e-12	3.3099e-11
ACSL5	74.3786	-0.464586	0.287762	-1.61432	0.106458	0.148071
ACSL6	195.421	6.28781	0.438924	13.8466	1.33335e-43	1.21406e-42
ACSM1	5.85158	-2.15643	1.0317	-2.03678	0.0416722	0.0631199
ACSM2A	2.46001	-1.29284	1.29656	-0.98053	0.326824	0.398144
ACSM2B	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044
ACSM3	106.169	-5.87781	0.608715	-9.02953	1.72415e-19	8.44319e-19
ACSM4	1.42356	-0.320149	1.45673	-0.219263	0.826445	NA
ACSM5	8.07131	2.02486	0.858734	2.33874	0.0193491	0.0311154
ACSS1	397.429	1.02437	0.134109	7.63819	2.2029e-14	8.76663e-14
ACSS2	332.612	-0.326876	0.138718	-2.35638	0.0184541	0.0297771
ACSS3	65.6218	-0.436247	0.303235	-1.43849	0.150294	0.201965
ACTA1	23.0005	0.149337	0.524399	0.284787	0.775807	0.817066
ACTA2	178.477	1.59651	0.192191	8.30541	9.94766e-17	4.35375e-16
ACTB	16238.9	-0.491493	0.0480273	-10.2336	1.40199e-24	8.07596e-24
ACTBL2	2.37309	-0.543169	1.28595	-0.421157	0.67364	0.728172
ACTC1	12.4087	0.459838	0.668141	0.688265	0.491286	0.56073
ACTG1	13525.4	-1.42073	0.0458015	-31.0192	2.97316e-211	1.60514e-209
ACTG2	49.9634	-0.656777	0.354949	-1.84986	0.0643342	0.0940752
ACTL6A	122.314	-3.4154	0.309777	-10.9684	5.42395e-28	3.39888e-27
ACTL6B	248.264	7.87108	0.629767	11.1901	4.56163e-29	2.94042e-28
ACTL7A	1.3109	0.797385	1.48044	0.536937	0.591311	NA
ACTL7B	1.3293	0.81223	1.47801	0.548102	0.583622	NA
ACTL8	23.3547	-3.40154	0.681536	-4.85618	1.19669e-06	3.04748e-06
ACTN1	1523.99	-1.23779	0.0768477	-16.1066	2.2916e-58	2.74086e-57
ACTN2	185.327	5.46308	0.357843	15.0141	5.93624e-51	6.18879e-50
ACTN3	4.64599	1.59823	1.03435	1.5343	0.124956	0.17102
ACTN4	2704.3	-0.853961	0.0606077	-14.0899	4.38305e-45	4.10379e-44
ACTR10	114.78	1.00135	0.233098	4.29554	1.74269e-05	4.00016e-05
ACTR1A	1078.93	1.22155	0.0875737	13.9487	3.20464e-44	2.95163e-43
ACTR1B	984.413	1.08344	0.0864126	12.5379	4.63376e-36	3.5442e-35
ACTR2	617.794	-0.0601251	0.104855	-0.573412	0.566366	0.633524
ACTR3	524.91	-0.487212	0.113656	-4.28666	1.81379e-05	4.15197e-05
ACTR3B	150.34	1.38547	0.207223	6.68495	2.31009e-11	7.99149e-11
ACTR3C	3.5456	0.457494	1.12166	0.407869	0.68337	0.736958
ACTR5	92.1753	-1.08246	0.275565	-3.92677	8.60955e-05	0.000185559
ACTR6	57.2822	0.707859	0.319536	2.2152	0.0267463	0.0418934
ACTR8	133.425	0.114501	0.215089	0.532346	0.594486	0.657642
ACVR1	108.426	-0.253518	0.237285	-1.06838	0.285349	0.353638
ACVR1B	430.922	1.50258	0.129165	11.6323	2.82295e-31	1.94241e-30
ACVR1C	26.5643	2.46687	0.522116	4.70298	2.56392e-06	6.35852e-06
ACVR2A	56.3846	0.560565	0.326467	1.71707	0.0859659	0.121986
ACVR2B	271.026	-0.969555	0.157969	-6.13705	8.40691e-10	2.65923e-09
ACVRL1	89.6343	3.4759	0.328645	10.5279	6.42284e-26	3.83056e-25
ACY1	193.703	-2.14284	0.20326	-10.5342	6.00711e-26	3.5875e-25
ACY3	22.4703	0.603187	0.501349	1.20309	0.228941	0.29206
ACYP1	63.2427	0.416856	0.302853	1.37645	0.168683	0.223037
ACYP2	100.466	2.75742	0.28737	9.5787	9.82711e-22	5.17642e-21
ADA	298.288	-4.17622	0.235827	-17.6276	1.51309e-69	2.12389e-68
ADAD2	7.89055	2.23427	0.870096	2.53824	0.0111413	0.0186996
ADAL	49.0643	-0.688244	0.348535	-1.97409	0.0483712	0.0724041
ADAM10	371.708	-0.715867	0.133926	-5.34501	9.0414e-08	2.50656e-07
ADAM11	819.143	4.44709	0.137843	32.2185	9.71325e-228	5.73834e-226
ADAM12	42.21	-3.09431	0.484628	-6.31641	2.67703e-10	8.69997e-10
ADAM15	816.594	-0.782802	0.0946392	-8.27125	1.32559e-16	5.77857e-16
ADAM17	142.647	-0.83112	0.212361	-3.91317	9.10941e-05	0.000195923
ADAM19	116.38	0.779364	0.231689	3.36376	0.000768875	0.00150214
ADAM20	2.22708	1.67195	1.33169	1.23423	0.217118	0.278578
ADAM21	3.32071	0.655143	1.14365	0.572418	0.567039	0.633995
ADAM22	135.565	3.63781	0.276261	13.1204	2.51485e-39	2.09623e-38
ADAM23	212.857	1.60002	0.177695	9.00295	2.1974e-19	1.06987e-18
ADAM28	9.28464	1.69664	0.78048	2.16467	0.030413	0.0472445
ADAM29	1.53219	0.418339	1.42778	0.293085	0.769457	NA
ADAM32	2.7231	1.45613	1.24219	1.16138	0.245487	0.310213
ADAM33	50.5537	0.823009	0.33978	2.42201	0.015435	0.0251975
ADAM8	37.0027	-0.482718	0.405965	-1.1888	0.234519	0.298179
ADAM9	297.188	-0.977863	0.149097	-6.55799	5.45371e-11	1.84731e-10
ADAMTS1	508.274	-0.590779	0.116283	-5.08042	3.76604e-07	9.96967e-07
ADAMTS10	111.832	1.68343	0.24998	6.73206	1.67279e-11	5.81089e-11
ADAMTS12	23.6006	-3.66233	0.711574	-4.96524	6.86156e-07	1.78043e-06
ADAMTS13	149.637	1.06499	0.203703	5.22781	1.71527e-07	4.64949e-07
ADAMTS14	130.804	-1.18196	0.223594	-5.28464	1.25954e-07	3.45364e-07
ADAMTS15	46.5331	-3.24676	0.477278	-6.72484	1.75781e-11	6.09779e-11
ADAMTS16	34.7934	2.99506	0.481671	6.1754	6.59952e-10	2.09926e-09
ADAMTS17	27.1262	-0.259215	0.47258	-0.548431	0.583396	0.647332
ADAMTS18	64.8317	5.27995	0.564556	8.97367	2.86807e-19	1.39053e-18
ADAMTS19	11.4623	-1.06729	0.715136	-1.48838	0.13665	0.185247
ADAMTS2	64.2586	-0.360161	0.30243	-1.19079	0.233735	0.297268
ADAMTS20	4.11248	-2.13787	1.16548	-1.76874	0.0769374	0.110452
ADAMTS3	27.6116	-1.69917	0.496211	-3.41393	0.00064032	0.0012618
ADAMTS4	285.381	2.98632	0.178059	16.7581	4.93832e-63	6.31083e-62
ADAMTS5	42.4081	0.939622	0.37882	2.48001	0.0131379	0.021753
ADAMTS6	8.89412	-1.57755	0.823178	-1.90138	0.0572522	0.0845223
ADAMTS7	51.9677	-2.58113	0.410913	-6.25107	4.07642e-10	1.31238e-09
ADAMTS8	69.8727	3.78789	0.392153	9.57907	9.792e-22	5.15947e-21
ADAMTS9	107.892	0.720741	0.237665	3.03253	0.00242512	0.00445749
ADAMTSL1	72.6466	-0.996515	0.294028	-3.38789	0.000704338	0.00138113
ADAMTSL2	177.274	3.4312	0.234717	14.5864	3.42712e-48	3.39538e-47
ADAMTSL3	18.4336	3.0184	0.656627	4.53544	5.74823e-06	1.38314e-05
ADAMTSL4	257.993	-4.04596	0.245471	-16.4055	1.74689e-60	2.14643e-59
ADAMTSL5	48.7913	-1.78156	0.380141	-4.67752	2.90368e-06	7.16166e-06
ADAP1	745.464	3.93329	0.131437	29.8993	2.00817e-196	9.73351e-195
ADAP2	19.4533	0.797709	0.536806	1.48579	0.137334	0.186104
ADAR	1853.44	0.136557	0.0676909	2.01736	0.0436583	0.065876
ADARB1	892.867	1.24505	0.0927608	13.4219	4.49752e-41	3.87972e-40
ADARB2	105.236	6.66015	0.654122	9.28535	1.6117e-20	8.18255e-20
ADAT1	58.267	-1.1324	0.331044	-3.41863	0.000629363	0.00124174
ADAT2	58.5089	-1.96525	0.36235	-5.41264	6.2101e-08	1.74228e-07
ADAT3	52.0841	-0.546317	0.337041	-1.62061	0.105101	0.146253
ADC	131.358	2.72102	0.244811	11.1005	1.24729e-28	7.9524e-28
ADCK1	73.6569	0.294034	0.285223	1.03091	0.302582	0.371942
ADCK2	277.926	0.187322	0.149374	1.25405	0.209825	0.271024
ADCK4	172.514	0.411858	0.187962	2.19119	0.0284378	0.04442
ADCK5	112.248	0.0220328	0.239491	0.0919989	0.926699	0.940039
ADCY1	2075.5	1.91572	0.0726317	26.3751	2.64337e-153	9.42695e-152
ADCY10	2.03554	0.436258	1.31938	0.330696	0.740874	NA
ADCY2	390.663	5.3954	0.244843	21.8754	4.45726e-106	9.76369e-105
ADCY3	517.24	0.525875	0.118888	4.42327	9.72186e-06	2.28782e-05
ADCY4	24.644	4.89954	0.808945	5.59557	2.19899e-08	6.33138e-08
ADCY5	344.963	4.58389	0.213713	21.3684	2.63157e-101	5.4838e-100
ADCY6	515.912	0.427037	0.113791	3.75283	0.000174853	0.000366368
ADCY7	231.415	-1.53642	0.174457	-8.80431	1.31655e-18	6.22815e-18
ADCY8	96.5493	2.2383	0.269977	8.283	1.20107e-16	5.24099e-16
ADCY9	411.07	0.634771	0.126684	5.01065	5.42453e-07	1.42037e-06
ADCYAP1	32.2335	4.05917	0.597138	6.63213	3.30884e-11	1.13282e-10
ADCYAP1R1	88.7227	5.5622	0.523146	10.2236	1.55439e-24	8.94502e-24
ADD1	2136.85	1.55909	0.0674032	23.1305	2.28415e-118	5.68477e-117
ADD2	463.885	1.60959	0.122983	13.087	3.90887e-39	3.24126e-38
ADD3	405.464	1.29468	0.129583	9.99069	1.67414e-23	9.3252e-23
ADH1B	6.40622	2.85442	1.01989	2.70712	0.00678694	0.0117837
ADH1C	1.3293	0.81223	1.47801	0.548102	0.583622	NA
ADH4	7.84519	-3.14323	1.03526	-2.84549	0.00443431	0.00789331
ADH5	223.843	-0.957212	0.172468	-5.54944	2.86584e-08	8.20427e-08
ADH6	15.4192	-3.67495	0.861593	-4.02889	5.60419e-05	0.000123176
ADH7	1.22799	-0.0291089	1.49416	-0.0194838	0.984455	NA
ADHFE1	35.6601	2.72104	0.461033	5.87383	4.25843e-09	1.29047e-08
ADI1	255.087	-0.555181	0.158674	-3.49873	0.000467472	0.000937402
ADIG	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA
ADIPOR1	535.972	-0.766923	0.113869	-6.7349	1.64037e-11	5.70166e-11
ADIPOR2	691.295	0.198854	0.102621	1.93776	0.0526528	0.0783584
ADK	95.2618	-1.14528	0.263476	-4.34518	1.39162e-05	3.22513e-05
ADM	222.019	-2.26084	0.196243	-11.5118	1.15073e-30	7.79567e-30
ADM2	49.9714	-4.55073	0.608916	-7.17163	7.41101e-13	2.76373e-12
ADNP	607.229	-0.58726	0.108459	-5.41451	6.14573e-08	1.7245e-07
ADNP2	229.153	-0.922345	0.16878	-5.46421	4.64975e-08	1.31312e-07
ADO	291.405	0.803725	0.152903	5.25639	1.46914e-07	4.00646e-07
ADORA1	502.849	4.51757	0.175918	25.6185	9.48864e-145	3.11775e-143
ADORA2A	91.1387	0.270218	0.253204	1.06721	0.285877	0.354212
ADORA2B	49.2626	-1.04296	0.354652	-2.93898	0.00329298	0.00595533
ADORA3	28.5226	4.78032	0.735107	6.12601	9.01095e-10	2.84671e-09
ADPGK	192.765	-1.57568	0.191584	-8.22144	2.0107e-16	8.70888e-16
ADPRH	19.596	0.320852	0.532111	0.603022	0.546494	0.61502
ADPRHL1	44.9787	1.27524	0.377714	3.37498	0.000738214	0.00144481
ADPRHL2	211.181	-0.272538	0.172058	-1.58396	0.113202	0.156582
ADRA1A	16.4457	4.75244	0.927824	4.59983	4.22828e-06	1.03012e-05
ADRA1B	74.2094	3.46639	0.359466	9.5902	8.79121e-22	4.64191e-21
ADRA1D	33.9044	1.09404	0.417771	2.61793	0.0088464	0.0150918
ADRA2A	56.9679	3.61112	0.428538	8.35674	6.44745e-17	2.84739e-16
ADRA2B	7.53722	0.795461	0.822023	0.96727	0.333409	0.404396
ADRA2C	125.729	-1.10885	0.235477	-4.70768	2.50556e-06	6.21994e-06
ADRB1	72.1821	3.42164	0.368476	9.23674	2.5412e-20	1.27832e-19
ADRB2	15.363	-0.147767	0.606934	-0.243448	0.807658	0.843573
ADRB3	1.83265	0.740827	1.36726	0.54109	0.588446	NA
ADRBK1	1691.27	0.808506	0.0704744	11.4723	1.81714e-30	1.22299e-29
ADRBK2	266.237	1.18687	0.154685	7.67246	1.68732e-14	6.74081e-14
ADRM1	934.667	-0.582316	0.0888655	-6.55271	5.65032e-11	1.91133e-10
ADSL	243.565	-2.06692	0.181102	-11.4067	3.8735e-30	2.58223e-29
ADSS	174.849	-0.245509	0.193114	-1.2713	0.203623	0.263829
ADSSL1	85.805	-1.26301	0.27907	-4.52347	6.08345e-06	1.46059e-05
AEBP1	1072.07	-1.24665	0.0902801	-13.8082	2.27365e-43	2.05424e-42
AEBP2	231.863	-0.235672	0.164377	-1.43371	0.151655	0.203561
AEN	286.077	-2.03983	0.168268	-12.117	8.5836e-34	6.25708e-33
AES	5098.93	1.92537	0.053164	36.2153	3.49682e-287	3.22922e-285
AFAP1	332.951	0.0683657	0.13973	0.489272	0.624649	0.686078
AFAP1L1	58.3844	-1.90826	0.357214	-5.332	9.71369e-08	2.68692e-07
AFAP1L2	176.222	3.00049	0.222008	13.4972	1.625e-41	1.41852e-40
AFARP1	25.9037	-0.464507	0.471638	-0.984578	0.324831	0.396321
AFF1	247.475	-0.938544	0.16657	-5.63399	1.76091e-08	5.10776e-08
